Check,Value,Status
Train row count,384,Pass
Test row count,96,Pass
Forecast-candidate row count,96,Pass
Train year coverage,"2017, 2018, 2019, 2020",Pass
Test year coverage,2021,Pass
Forecast-candidate year coverage,2022,Pass
Train-test key overlap count,0,Pass
Validation fold count,3,Pass
Validation years strictly after fold training years,True,Pass
Test year absent from validation folds,True,Pass
Forecast-candidate year absent from train/validation/test,True,Pass
Every final feature exists in train and test panels,True,Pass
