Year,Stage,Sex,State_Count,Row_Count,Malaysia_Present,State_Rows_Present,Sex Coverage
2016,primary,both,16,17,True,True,"both, female, male"
2016,primary,female,16,17,True,True,"both, female, male"
2016,primary,male,16,17,True,True,"both, female, male"
2016,secondary_lower,both,16,17,True,True,"both, female, male"
2016,secondary_lower,female,16,17,True,True,"both, female, male"
2016,secondary_lower,male,16,17,True,True,"both, female, male"
2016,secondary_upper,both,16,17,True,True,"both, female, male"
2016,secondary_upper,female,16,17,True,True,"both, female, male"
2016,secondary_upper,male,16,17,True,True,"both, female, male"
2017,primary,both,16,17,True,True,"both, female, male"
2017,primary,female,16,17,True,True,"both, female, male"
2017,primary,male,16,17,True,True,"both, female, male"
2017,secondary_lower,both,16,17,True,True,"both, female, male"
2017,secondary_lower,female,16,17,True,True,"both, female, male"
2017,secondary_lower,male,16,17,True,True,"both, female, male"
2017,secondary_upper,both,16,17,True,True,"both, female, male"
2017,secondary_upper,female,16,17,True,True,"both, female, male"
2017,secondary_upper,male,16,17,True,True,"both, female, male"
2018,primary,both,16,17,True,True,"both, female, male"
2018,primary,female,16,17,True,True,"both, female, male"
2018,primary,male,16,17,True,True,"both, female, male"
2018,secondary_lower,both,16,17,True,True,"both, female, male"
2018,secondary_lower,female,16,17,True,True,"both, female, male"
2018,secondary_lower,male,16,17,True,True,"both, female, male"
2018,secondary_upper,both,16,17,True,True,"both, female, male"
2018,secondary_upper,female,16,17,True,True,"both, female, male"
2018,secondary_upper,male,16,17,True,True,"both, female, male"
2019,primary,both,16,17,True,True,"both, female, male"
2019,primary,female,16,17,True,True,"both, female, male"
2019,primary,male,16,17,True,True,"both, female, male"
2019,secondary_lower,both,16,17,True,True,"both, female, male"
2019,secondary_lower,female,16,17,True,True,"both, female, male"
2019,secondary_lower,male,16,17,True,True,"both, female, male"
2019,secondary_upper,both,16,17,True,True,"both, female, male"
2019,secondary_upper,female,16,17,True,True,"both, female, male"
2019,secondary_upper,male,16,17,True,True,"both, female, male"
2020,primary,both,16,17,True,True,"both, female, male"
2020,primary,female,16,17,True,True,"both, female, male"
2020,primary,male,16,17,True,True,"both, female, male"
2020,secondary_lower,both,16,17,True,True,"both, female, male"
2020,secondary_lower,female,16,17,True,True,"both, female, male"
2020,secondary_lower,male,16,17,True,True,"both, female, male"
2020,secondary_upper,both,16,17,True,True,"both, female, male"
2020,secondary_upper,female,16,17,True,True,"both, female, male"
2020,secondary_upper,male,16,17,True,True,"both, female, male"
2021,primary,both,16,17,True,True,"both, female, male"
2021,primary,female,16,17,True,True,"both, female, male"
2021,primary,male,16,17,True,True,"both, female, male"
2021,secondary_lower,both,16,17,True,True,"both, female, male"
2021,secondary_lower,female,16,17,True,True,"both, female, male"
2021,secondary_lower,male,16,17,True,True,"both, female, male"
2021,secondary_upper,both,16,17,True,True,"both, female, male"
2021,secondary_upper,female,16,17,True,True,"both, female, male"
2021,secondary_upper,male,16,17,True,True,"both, female, male"
2022,primary,both,16,17,True,True,"both, female, male"
2022,primary,female,16,17,True,True,"both, female, male"
2022,primary,male,16,17,True,True,"both, female, male"
2022,secondary_lower,both,16,17,True,True,"both, female, male"
2022,secondary_lower,female,16,17,True,True,"both, female, male"
2022,secondary_lower,male,16,17,True,True,"both, female, male"
2022,secondary_upper,both,16,17,True,True,"both, female, male"
2022,secondary_upper,female,16,17,True,True,"both, female, male"
2022,secondary_upper,male,16,17,True,True,"both, female, male"
