state,stage,sex,input_year,target_year,actual_svr,actual_rf,actual_difference
johor,primary,female,2021,2022,99.3,99.3,0.0
johor,primary,male,2021,2022,98.7,98.7,0.0
johor,secondary_lower,female,2021,2022,97.6,97.6,0.0
johor,secondary_lower,male,2021,2022,102.5,102.5,0.0
johor,secondary_upper,female,2021,2022,98.5,98.5,0.0
johor,secondary_upper,male,2021,2022,97.8,97.8,0.0
kedah,primary,female,2021,2022,102.4,102.4,0.0
kedah,primary,male,2021,2022,99.8,99.8,0.0
kedah,secondary_lower,female,2021,2022,99.2,99.2,0.0
kedah,secondary_lower,male,2021,2022,99.6,99.6,0.0
kedah,secondary_upper,female,2021,2022,99.6,99.6,0.0
kedah,secondary_upper,male,2021,2022,98.7,98.7,0.0
kelantan,primary,female,2021,2022,99.2,99.2,0.0
kelantan,primary,male,2021,2022,97.3,97.3,0.0
kelantan,secondary_lower,female,2021,2022,98.7,98.7,0.0
kelantan,secondary_lower,male,2021,2022,99.4,99.4,0.0
kelantan,secondary_upper,female,2021,2022,98.8,98.8,0.0
kelantan,secondary_upper,male,2021,2022,100.0,100.0,0.0
melaka,primary,female,2021,2022,100.3,100.3,0.0
melaka,primary,male,2021,2022,98.7,98.7,0.0
melaka,secondary_lower,female,2021,2022,99.3,99.3,0.0
melaka,secondary_lower,male,2021,2022,98.6,98.6,0.0
melaka,secondary_upper,female,2021,2022,98.3,98.3,0.0
melaka,secondary_upper,male,2021,2022,97.1,97.1,0.0
negeri_sembilan,primary,female,2021,2022,102.7,102.7,0.0
negeri_sembilan,primary,male,2021,2022,100.6,100.6,0.0
negeri_sembilan,secondary_lower,female,2021,2022,99.8,99.8,0.0
negeri_sembilan,secondary_lower,male,2021,2022,99.9,99.9,0.0
negeri_sembilan,secondary_upper,female,2021,2022,99.8,99.8,0.0
negeri_sembilan,secondary_upper,male,2021,2022,100.9,100.9,0.0
pahang,primary,female,2021,2022,98.1,98.1,0.0
pahang,primary,male,2021,2022,95.1,95.1,0.0
pahang,secondary_lower,female,2021,2022,98.8,98.8,0.0
pahang,secondary_lower,male,2021,2022,98.6,98.6,0.0
pahang,secondary_upper,female,2021,2022,99.5,99.5,0.0
pahang,secondary_upper,male,2021,2022,100.6,100.6,0.0
perak,primary,female,2021,2022,100.9,100.9,0.0
perak,primary,male,2021,2022,99.1,99.1,0.0
perak,secondary_lower,female,2021,2022,99.4,99.4,0.0
perak,secondary_lower,male,2021,2022,99.0,99.0,0.0
perak,secondary_upper,female,2021,2022,99.9,99.9,0.0
perak,secondary_upper,male,2021,2022,100.7,100.7,0.0
perlis,primary,female,2021,2022,107.2,107.2,0.0
perlis,primary,male,2021,2022,103.9,103.9,0.0
perlis,secondary_lower,female,2021,2022,100.3,100.3,0.0
perlis,secondary_lower,male,2021,2022,99.1,99.1,0.0
perlis,secondary_upper,female,2021,2022,98.2,98.2,0.0
perlis,secondary_upper,male,2021,2022,97.6,97.6,0.0
pulau_pinang,primary,female,2021,2022,98.9,98.9,0.0
pulau_pinang,primary,male,2021,2022,96.6,96.6,0.0
pulau_pinang,secondary_lower,female,2021,2022,99.7,99.7,0.0
pulau_pinang,secondary_lower,male,2021,2022,99.7,99.7,0.0
pulau_pinang,secondary_upper,female,2021,2022,101.0,101.0,0.0
pulau_pinang,secondary_upper,male,2021,2022,100.0,100.0,0.0
sabah,primary,female,2021,2022,100.8,100.8,0.0
sabah,primary,male,2021,2022,100.3,100.3,0.0
sabah,secondary_lower,female,2021,2022,99.7,99.7,0.0
sabah,secondary_lower,male,2021,2022,99.5,99.5,0.0
sabah,secondary_upper,female,2021,2022,99.5,99.5,0.0
sabah,secondary_upper,male,2021,2022,99.7,99.7,0.0
sarawak,primary,female,2021,2022,101.1,101.1,0.0
sarawak,primary,male,2021,2022,100.3,100.3,0.0
sarawak,secondary_lower,female,2021,2022,99.6,99.6,0.0
sarawak,secondary_lower,male,2021,2022,98.5,98.5,0.0
sarawak,secondary_upper,female,2021,2022,98.9,98.9,0.0
sarawak,secondary_upper,male,2021,2022,98.8,98.8,0.0
selangor,primary,female,2021,2022,99.1,99.1,0.0
selangor,primary,male,2021,2022,98.2,98.2,0.0
selangor,secondary_lower,female,2021,2022,98.4,98.4,0.0
selangor,secondary_lower,male,2021,2022,97.7,97.7,0.0
selangor,secondary_upper,female,2021,2022,99.6,99.6,0.0
selangor,secondary_upper,male,2021,2022,98.9,98.9,0.0
terengganu,primary,female,2021,2022,104.6,104.6,0.0
terengganu,primary,male,2021,2022,103.1,103.1,0.0
terengganu,secondary_lower,female,2021,2022,99.9,99.9,0.0
terengganu,secondary_lower,male,2021,2022,99.6,99.6,0.0
terengganu,secondary_upper,female,2021,2022,99.1,99.1,0.0
terengganu,secondary_upper,male,2021,2022,98.8,98.8,0.0
wp_kuala_lumpur,primary,female,2021,2022,94.6,94.6,0.0
wp_kuala_lumpur,primary,male,2021,2022,92.9,92.9,0.0
wp_kuala_lumpur,secondary_lower,female,2021,2022,96.4,96.4,0.0
wp_kuala_lumpur,secondary_lower,male,2021,2022,96.5,96.5,0.0
wp_kuala_lumpur,secondary_upper,female,2021,2022,98.1,98.1,0.0
wp_kuala_lumpur,secondary_upper,male,2021,2022,97.0,97.0,0.0
wp_labuan,primary,female,2021,2022,93.9,93.9,0.0
wp_labuan,primary,male,2021,2022,90.9,90.9,0.0
wp_labuan,secondary_lower,female,2021,2022,103.2,103.2,0.0
wp_labuan,secondary_lower,male,2021,2022,102.5,102.5,0.0
wp_labuan,secondary_upper,female,2021,2022,99.5,99.5,0.0
wp_labuan,secondary_upper,male,2021,2022,99.2,99.2,0.0
wp_putrajaya,primary,female,2021,2022,104.9,104.9,0.0
wp_putrajaya,primary,male,2021,2022,101.1,101.1,0.0
wp_putrajaya,secondary_lower,female,2021,2022,105.9,105.9,0.0
wp_putrajaya,secondary_lower,male,2021,2022,100.9,100.9,0.0
wp_putrajaya,secondary_upper,female,2021,2022,99.1,99.1,0.0
wp_putrajaya,secondary_upper,male,2021,2022,104.0,104.0,0.0
