branch_key,baseline_name,baseline_group,baseline_mae,baseline_rmse,baseline_r2,baseline_median_absolute_error
svr,historical_state_stage_sex_mean_baseline,Additional rule baseline,2.6012575520833328,3.299992489230524,-0.8968801101490174,1.9412499999999968
svr,training_mean_baseline,Core baseline,2.7124119900173604,3.304518311952839,-0.9020866856819209,2.3038361979166666
svr,stage_sex_mean_baseline,Additional rule baseline,2.807619628906252,3.393252243617668,-1.0056089995823263,2.4742398437499986
svr,rolling2_completion_mean_baseline,Additional rule baseline,2.972395833333332,4.269779341488268,-2.175593052733878,1.949999999999996
svr,persistence_baseline,Core baseline,3.0437500000000006,5.232610088028089,-3.769257026279336,1.7000000000000028
svr,previous_year_trend_baseline,Additional rule baseline,5.638541666666669,9.529772426453844,-14.81900048139376,3.649999999999999
rf,historical_state_stage_sex_mean_baseline,Additional rule baseline,2.6012575520833328,3.299992489230524,-0.8968801101490174,1.9412499999999968
rf,training_mean_baseline,Core baseline,2.7124119900173604,3.304518311952839,-0.9020866856819209,2.3038361979166666
rf,stage_sex_mean_baseline,Additional rule baseline,2.807619628906252,3.393252243617668,-1.0056089995823263,2.4742398437499986
rf,rolling2_completion_mean_baseline,Additional rule baseline,2.8484374999999997,3.600090421318146,-1.2575677764427775,2.2249999999999943
rf,persistence_baseline,Core baseline,3.0437500000000006,5.232610088028089,-3.769257026279336,1.7000000000000028
rf,ridge_benchmark,Ridge benchmark,3.509917517788729,4.521961917885593,-2.56178565960714,2.715863166265599
rf,previous_year_trend_baseline,Additional rule baseline,5.638541666666669,9.529772426453844,-14.81900048139376,3.649999999999999
