state,stage,sex,input_year,target_year,actual_next_year_completion_rate,svr_prediction,rf_prediction,svr_absolute_error,rf_absolute_error,winner_by_row,absolute_error_difference_svr_minus_rf,prediction_difference
perak,secondary_upper,female,2021,2022,99.9,98.70448202947084,93.294199101085,1.195517970529167,6.605800898915007,svr,-5.41028292838584,5.41028292838584
negeri_sembilan,secondary_upper,female,2021,2022,99.8,98.47011577283136,93.2628529622086,1.329884227168634,6.537147037791399,svr,-5.207262810622765,5.207262810622765
terengganu,secondary_upper,male,2021,2022,98.8,98.83627881457473,93.72551036642037,0.03627881457472881,5.074489633579631,svr,-5.038210819004902,5.11076844815436
melaka,secondary_upper,female,2021,2022,98.3,98.31183609246864,93.87014289010222,0.011836092468641368,4.429857109897782,svr,-4.41802101742914,4.441693202366423
negeri_sembilan,secondary_upper,male,2021,2022,100.9,97.26389839024674,93.13442899114996,3.6361016097532683,7.765571008850046,svr,-4.129469399096777,4.129469399096777
selangor,secondary_upper,female,2021,2022,99.6,97.65247828874574,93.60124811597431,1.9475217112542538,5.99875188402568,svr,-4.051230172771426,4.051230172771426
pahang,secondary_upper,female,2021,2022,99.5,99.3982289921221,95.35306555758967,0.10177100787790039,4.146934442410327,svr,-4.0451634345324265,4.0451634345324265
perlis,secondary_upper,female,2021,2022,98.2,97.71685674674583,93.82429807595044,0.48314325325416974,4.375701924049565,svr,-3.8925586707953954,3.8925586707953954
perak,secondary_upper,male,2021,2022,100.7,97.0075268521006,93.27281639400378,3.692473147899406,7.42718360599622,svr,-3.7347104580968136,3.7347104580968136
sarawak,secondary_upper,female,2021,2022,98.9,98.0102008342664,94.43476441080908,0.8897991657336064,4.465235589190925,svr,-3.575436423457319,3.575436423457319
wp_putrajaya,secondary_upper,female,2021,2022,99.1,97.41385435341486,93.83989525583166,1.6861456465851319,5.260104744168331,svr,-3.5739590975831987,3.5739590975831987
melaka,secondary_upper,male,2021,2022,97.1,96.95139759499368,93.42252693901432,0.14860240500631505,3.677473060985676,svr,-3.528870655979361,3.528870655979361
sabah,secondary_upper,female,2021,2022,99.5,98.16930988898712,94.6738821260462,1.3306901110128848,4.826117873953805,svr,-3.4954277629409205,3.4954277629409205
wp_putrajaya,primary,male,2021,2022,101.1,97.31852640186573,93.98010839841824,3.7814735981342693,7.119891601581756,svr,-3.3384180034474866,3.3384180034474866
johor,secondary_lower,female,2021,2022,97.6,98.95974986125644,95.99094235043071,1.3597498612564465,1.60905764956928,svr,-0.24930778831283362,2.9688075108257266
kedah,secondary_upper,female,2021,2022,99.6,99.5495406201978,96.58927055367354,0.050459379802191506,3.010729446326451,svr,-2.9602700665242594,2.9602700665242594
sabah,secondary_upper,male,2021,2022,99.7,96.71465963789451,93.82164867607727,2.9853403621054895,5.878351323922729,svr,-2.8930109618172395,2.8930109618172395
wp_labuan,secondary_upper,male,2021,2022,99.2,96.65144858846806,93.88594672065678,2.548551411531946,5.314053279343227,svr,-2.765501867811281,2.765501867811281
kedah,secondary_upper,male,2021,2022,98.7,98.45882269085368,95.77830919415996,0.24117730914632318,2.9216908058400435,svr,-2.6805134966937203,2.6805134966937203
kedah,secondary_lower,male,2021,2022,99.6,97.74896022660326,95.34919876392787,1.8510397733967352,4.250801236072121,svr,-2.399761462675386,2.399761462675386
