branch_key,model_name,baseline_name,baseline_group,model_mae,baseline_mae,mae_improvement,model_rmse,baseline_rmse,rmse_improvement,model_r2,baseline_r2,r2_difference,model_median_absolute_error,baseline_median_absolute_error,median_ae_improvement,model_beats_baseline_mae,model_beats_baseline_rmse,model_beats_baseline_r2,model_beats_baseline_median_ae
svr,Support Vector Regression,historical_state_stage_sex_mean_baseline,Additional rule baseline,2.023946549144871,2.6012575520833328,0.5773110029384618,2.73260976914434,3.299992489230524,0.5673827200861843,-0.3006762586745686,-0.8968801101490174,0.5962038514744488,1.5768237097878242,1.9412499999999968,0.36442629021217265,True,True,True,True
svr,Support Vector Regression,training_mean_baseline,Core baseline,2.023946549144871,2.7124119900173604,0.6884654408724895,2.73260976914434,3.304518311952839,0.5719085428084991,-0.3006762586745686,-0.9020866856819209,0.6014104270073523,1.5768237097878242,2.3038361979166666,0.7270124881288424,True,True,True,True
svr,Support Vector Regression,stage_sex_mean_baseline,Additional rule baseline,2.023946549144871,2.807619628906252,0.7836730797613809,2.73260976914434,3.393252243617668,0.6606424744733284,-0.3006762586745686,-1.0056089995823263,0.7049327409077577,1.5768237097878242,2.4742398437499986,0.8974161339621745,True,True,True,True
svr,Support Vector Regression,rolling2_completion_mean_baseline,Additional rule baseline,2.023946549144871,2.972395833333332,0.9484492841884609,2.73260976914434,4.269779341488268,1.5371695723439278,-0.3006762586745686,-2.175593052733878,1.8749167940593092,1.5768237097878242,1.949999999999996,0.3731762902121718,True,True,True,True
svr,Support Vector Regression,persistence_baseline,Core baseline,2.023946549144871,3.0437500000000006,1.0198034508551297,2.73260976914434,5.232610088028089,2.500000318883749,-0.3006762586745686,-3.769257026279336,3.4685807676047675,1.5768237097878242,1.7000000000000028,0.12317629021217869,True,True,True,True
svr,Support Vector Regression,previous_year_trend_baseline,Additional rule baseline,2.023946549144871,5.638541666666669,3.6145951175217976,2.73260976914434,9.529772426453844,6.797162657309505,-0.3006762586745686,-14.81900048139376,14.51832422271919,1.5768237097878242,3.649999999999999,2.073176290212175,True,True,True,True
rf,RandomForestRegressor,historical_state_stage_sex_mean_baseline,Additional rule baseline,3.179469333608646,2.6012575520833328,-0.5782117815253134,3.849186402161396,3.299992489230524,-0.549193912930872,-1.580785236848035,-0.8968801101490174,-0.6839051266990177,2.7302460331631764,1.9412499999999968,-0.7889960331631796,False,False,False,False
rf,RandomForestRegressor,training_mean_baseline,Core baseline,3.179469333608646,2.7124119900173604,-0.4670573435912857,3.849186402161396,3.304518311952839,-0.5446680902085572,-1.580785236848035,-0.9020866856819209,-0.6786985511661142,2.7302460331631764,2.3038361979166666,-0.42640983524650977,False,False,False,False
rf,RandomForestRegressor,stage_sex_mean_baseline,Additional rule baseline,3.179469333608646,2.807619628906252,-0.3718497047023943,3.849186402161396,3.393252243617668,-0.455934158543728,-1.580785236848035,-1.0056089995823263,-0.5751762372657088,2.7302460331631764,2.4742398437499986,-0.25600618941317776,False,False,False,False
rf,RandomForestRegressor,rolling2_completion_mean_baseline,Additional rule baseline,3.179469333608646,2.8484374999999997,-0.3310318336086464,3.849186402161396,3.600090421318146,-0.24909598084325024,-1.580785236848035,-1.2575677764427775,-0.32321746040525756,2.7302460331631764,2.2249999999999943,-0.5052460331631821,False,False,False,False
rf,RandomForestRegressor,persistence_baseline,Core baseline,3.179469333608646,3.0437500000000006,-0.13571933360864552,3.849186402161396,5.232610088028089,1.3834236858666928,-1.580785236848035,-3.769257026279336,2.188471789431301,2.7302460331631764,1.7000000000000028,-1.0302460331631735,False,True,True,False
rf,RandomForestRegressor,ridge_benchmark,Ridge benchmark,3.179469333608646,3.509917517788729,0.3304481841800828,3.849186402161396,4.521961917885593,0.6727755157241972,-1.580785236848035,-2.56178565960714,0.9810004227591049,2.7302460331631764,2.715863166265599,-0.014382866897577173,True,True,True,False
rf,RandomForestRegressor,previous_year_trend_baseline,Additional rule baseline,3.179469333608646,5.638541666666669,2.4590723330580224,3.849186402161396,9.529772426453844,5.680586024292448,-1.580785236848035,-14.81900048139376,13.238215244545724,2.7302460331631764,3.649999999999999,0.9197539668368226,True,True,True,True
