model_key,model_name,source_type,feature,importance
rf,RandomForestRegressor,native_feature_importance,completion_gap_from_malaysia,0.1508001113613176
rf,RandomForestRegressor,native_feature_importance,rolling2_completion_mean,0.1287026020457758
rf,RandomForestRegressor,native_feature_importance,completion_rate,0.1271279168123649
rf,RandomForestRegressor,native_feature_importance,lag1_completion_rate,0.1245376438926054
rf,RandomForestRegressor,native_feature_importance,gap_change_1y,0.0669760753078933
rf,RandomForestRegressor,native_feature_importance,completion_rate_change_1y,0.0571211707864239
rf,RandomForestRegressor,native_feature_importance,lag1_completion_gap_from_malaysia,0.0558477331554622
rf,RandomForestRegressor,native_feature_importance,rolling2_gap_mean,0.0540568710396962
rf,RandomForestRegressor,native_feature_importance,students_growth_1y,0.053701930336517
rf,RandomForestRegressor,native_feature_importance,stage_secondary_upper,0.0431950059970941
rf,RandomForestRegressor,permutation_importance,lag1_completion_rate,0.092203316038034
rf,RandomForestRegressor,permutation_importance,lag1_completion_gap_from_malaysia,0.0266630068145854
rf,RandomForestRegressor,permutation_importance,schools_total,0.0135633983016334
rf,RandomForestRegressor,permutation_importance,students_total,0.0135023604249961
rf,RandomForestRegressor,permutation_importance,teachers_total,0.0086388106133335
rf,RandomForestRegressor,permutation_importance,teachers_growth_1y,0.0047080927254294
rf,RandomForestRegressor,permutation_importance,students_per_school,0.0013770718695595
rf,RandomForestRegressor,permutation_importance,schools_growth_1y,-0.0004551974858204
rf,RandomForestRegressor,permutation_importance,teachers_per_school,-0.0049920159967443
rf,RandomForestRegressor,permutation_importance,rolling2_gap_mean,-0.0142935629830426
svr,Support Vector Regression,permutation_importance,rolling2_gap_mean,0.0344149771058295
svr,Support Vector Regression,permutation_importance,living_quarters_per_household,0.0223481134970468
svr,Support Vector Regression,permutation_importance,households_per_living_quarter,0.021554164554227
svr,Support Vector Regression,permutation_importance,completion_gap_from_malaysia,0.0214638443310854
svr,Support Vector Regression,permutation_importance,teachers_growth_1y,0.0179203762352632
svr,Support Vector Regression,permutation_importance,students_per_school,0.0175351078774654
svr,Support Vector Regression,permutation_importance,is_federal_territory,0.0162833715893986
svr,Support Vector Regression,permutation_importance,lag1_completion_gap_from_malaysia,0.0138483720616008
svr,Support Vector Regression,permutation_importance,state,0.0107813442387392
svr,Support Vector Regression,permutation_importance,living_quarters,0.0080497764428156
