state,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
W.P. Putrajaya,6,102.64999999999999,96.07617963643777,6.57382036356222,6.57382036356222,6.924692013877149,7.039838482775728,9.697541440928532,0.0
Perlis,6,101.05,95.95747205967513,5.092527940324881,5.092527940324881,5.61557010226718,3.8333669325077366,9.056444545551045,0.0
Pulau Pinang,6,99.31666666666666,95.57052662379499,3.746140042871685,3.746140042871685,4.064720435107384,3.404791396925951,5.881468834325716,16.666666666666664
Negeri Sembilan,6,100.61666666666667,96.90400804791402,3.7126586187526605,3.7126586187526605,4.511376833254651,2.8610417731194744,7.76557100885006,33.33333333333333
Sabah,6,99.91666666666667,96.32913615053668,3.5875305161299806,3.5875305161299806,3.82603874583909,3.0826366046468223,5.878351323922729,0.0
W.P. Labuan,6,98.2,95.6423590444408,2.557640955559208,3.497352038714169,4.0434146475961885,3.74592374793329,5.724836826140518,33.33333333333333
Perak,6,99.83333333333333,96.55529268814087,3.278040645192481,3.3554692435929545,4.300677474433326,2.1927775591068226,7.42718360599622,50.0
Melaka,6,98.71666666666665,95.8120028514828,2.904663815183857,2.904663815183857,3.1085939230694564,2.962761803197239,4.429857109897782,16.666666666666664
Kedah,6,99.88333333333334,97.3786895905471,2.5046437427862216,2.7126805203465687,2.9416763311486602,2.96621012608324,4.250801236072107,16.666666666666664
Selangor,6,98.64999999999999,96.44612183215622,2.203878167843783,2.6885356792818413,3.4527112838696468,1.4271393985530594,5.9987518840256655,66.66666666666666
Sarawak,6,99.53333333333332,96.88885123986677,2.644482093466562,2.644482093466562,2.994101893223664,2.435712557553167,4.465235589190925,33.33333333333333
Johor,6,99.06666666666666,96.57450704321745,2.4921596234492114,2.533295190913767,3.0802076736943222,2.3339259587885195,5.66027905989813,50.0
Terengganu,6,100.85000000000001,98.33696930039606,2.5130306996039216,2.5130306996039216,2.861592629307243,1.9641755213175216,5.074489633579631,50.0
Pahang,6,98.45,96.80970133035261,1.6402986696473836,2.2283547757822646,2.6569039334158178,1.9746716616668891,4.146934442410327,50.0
Kelantan,6,98.90000000000002,100.90022646695917,-2.0002264669591647,2.1499028581580837,2.4162938687902913,2.2271749038136903,3.5071647593600233,50.0
W.P. Kuala Lumpur,6,95.91666666666667,95.18916594290131,0.7275007237653549,0.9310649410529237,1.1995959569614818,0.5783302485332129,2.02245431479092,83.33333333333334
