state,stage,sex,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
W.P. Putrajaya,primary,female,1,104.9,95.20245855907147,9.697541440928532,9.697541440928532,9.697541440928532,9.697541440928532,9.697541440928532,0.0
Perlis,primary,male,1,103.9,94.84355545444896,9.056444545551045,9.056444545551045,9.056444545551045,9.056444545551045,9.056444545551045,0.0
Negeri Sembilan,secondary_upper,male,1,100.9,93.13442899114995,7.76557100885006,7.76557100885006,7.76557100885006,7.76557100885006,7.76557100885006,0.0
W.P. Putrajaya,secondary_upper,male,1,104.0,96.27455993560346,7.725440064396537,7.725440064396537,7.725440064396537,7.725440064396537,7.725440064396537,0.0
Perlis,primary,female,1,107.2,99.59824608324315,7.601753916756849,7.601753916756849,7.601753916756849,7.601753916756849,7.601753916756849,0.0
Perak,secondary_upper,male,1,100.7,93.27281639400378,7.42718360599622,7.42718360599622,7.42718360599622,7.42718360599622,7.42718360599622,0.0
W.P. Putrajaya,primary,male,1,101.1,93.98010839841824,7.119891601581756,7.119891601581756,7.119891601581756,7.119891601581756,7.119891601581756,0.0
W.P. Putrajaya,secondary_lower,female,1,105.9,98.9402146360303,6.959785363969701,6.959785363969701,6.959785363969701,6.959785363969701,6.959785363969701,0.0
Perak,secondary_upper,female,1,99.9,93.29419910108501,6.605800898914993,6.605800898914993,6.605800898914993,6.605800898914993,6.605800898914993,0.0
Negeri Sembilan,secondary_upper,female,1,99.8,93.26285296220861,6.537147037791385,6.537147037791385,6.537147037791385,6.537147037791385,6.537147037791385,0.0
Selangor,secondary_upper,female,1,99.6,93.60124811597433,5.9987518840256655,5.9987518840256655,5.9987518840256655,5.9987518840256655,5.9987518840256655,0.0
Pulau Pinang,secondary_upper,female,1,101.0,95.11853116567428,5.881468834325716,5.881468834325716,5.881468834325716,5.881468834325716,5.881468834325716,0.0
Sabah,secondary_upper,male,1,99.7,93.82164867607727,5.878351323922729,5.878351323922729,5.878351323922729,5.878351323922729,5.878351323922729,0.0
W.P. Labuan,secondary_lower,female,1,103.2,97.47516317385949,5.724836826140518,5.724836826140518,5.724836826140518,5.724836826140518,5.724836826140518,0.0
Johor,secondary_lower,male,1,102.5,96.83972094010187,5.66027905989813,5.66027905989813,5.66027905989813,5.66027905989813,5.66027905989813,0.0
Pulau Pinang,secondary_upper,male,1,100.0,94.46957561426528,5.530424385734719,5.530424385734719,5.530424385734719,5.530424385734719,5.530424385734719,0.0
Selangor,secondary_upper,male,1,98.9,93.44625934990377,5.453740650096236,5.453740650096236,5.453740650096236,5.453740650096236,5.453740650096236,0.0
W.P. Labuan,secondary_lower,male,1,102.5,97.1289707184482,5.371029281551799,5.371029281551799,5.371029281551799,5.371029281551799,5.371029281551799,0.0
W.P. Labuan,secondary_upper,male,1,99.2,93.88594672065678,5.314053279343227,5.314053279343227,5.314053279343227,5.314053279343227,5.314053279343227,0.0
W.P. Putrajaya,secondary_upper,female,1,99.1,93.83989525583166,5.260104744168331,5.260104744168331,5.260104744168331,5.260104744168331,5.260104744168331,0.0
Terengganu,secondary_upper,male,1,98.8,93.72551036642037,5.074489633579631,5.074489633579631,5.074489633579631,5.074489633579631,5.074489633579631,0.0
Sabah,secondary_upper,female,1,99.5,94.6738821260462,4.826117873953805,4.826117873953805,4.826117873953805,4.826117873953805,4.826117873953805,0.0
Sarawak,secondary_upper,female,1,98.9,94.43476441080908,4.465235589190925,4.465235589190925,4.465235589190925,4.465235589190925,4.465235589190925,0.0
Sarawak,secondary_upper,male,1,98.8,94.36913203338618,4.4308679666138175,4.4308679666138175,4.4308679666138175,4.4308679666138175,4.4308679666138175,0.0
Melaka,secondary_upper,female,1,98.3,93.87014289010222,4.429857109897782,4.429857109897782,4.429857109897782,4.429857109897782,4.429857109897782,0.0
Perlis,secondary_upper,female,1,98.2,93.82429807595045,4.375701924049551,4.375701924049551,4.375701924049551,4.375701924049551,4.375701924049551,0.0
Pulau Pinang,secondary_lower,male,1,99.7,95.39485103197104,4.305148968028959,4.305148968028959,4.305148968028959,4.305148968028959,4.305148968028959,0.0
Kedah,secondary_lower,male,1,99.6,95.34919876392789,4.250801236072107,4.250801236072107,4.250801236072107,4.250801236072107,4.250801236072107,0.0
Pahang,secondary_upper,female,1,99.5,95.35306555758967,4.146934442410327,4.146934442410327,4.146934442410327,4.146934442410327,4.146934442410327,0.0
Pahang,secondary_upper,male,1,100.6,96.71411082366271,3.8858891763372867,3.8858891763372867,3.8858891763372867,3.8858891763372867,3.8858891763372867,0.0
Melaka,secondary_upper,male,1,97.1,93.42252693901433,3.677473060985662,3.677473060985662,3.677473060985662,3.677473060985662,3.677473060985662,0.0
Kelantan,secondary_lower,female,1,98.7,102.20716475936003,-3.5071647593600233,3.5071647593600233,3.5071647593600233,3.5071647593600233,3.5071647593600233,0.0
Melaka,primary,male,1,98.7,95.24276139557107,3.4572386044289374,3.4572386044289374,3.4572386044289374,3.4572386044289374,3.4572386044289374,0.0
Terengganu,primary,male,1,103.1,99.67384883591748,3.426151164082512,3.426151164082512,3.426151164082512,3.426151164082512,3.426151164082512,0.0
Kedah,primary,female,1,102.4,98.99199848641666,3.4080015135833435,3.4080015135833435,3.4080015135833435,3.4080015135833435,3.4080015135833435,0.0
Perlis,secondary_lower,male,1,99.1,95.80896805903407,3.2910319409659223,3.2910319409659223,3.2910319409659223,3.2910319409659223,3.2910319409659223,0.0
Johor,primary,male,1,98.7,95.41650484959857,3.2834951504014356,3.2834951504014356,3.2834951504014356,3.2834951504014356,3.2834951504014356,0.0
Sabah,secondary_lower,male,1,99.5,96.22707880742176,3.272921192578238,3.272921192578238,3.272921192578238,3.272921192578238,3.272921192578238,0.0
Perlis,secondary_lower,female,1,100.3,97.09449312624515,3.2055068737548424,3.2055068737548424,3.2055068737548424,3.2055068737548424,3.2055068737548424,0.0
Kelantan,secondary_lower,male,1,99.4,102.46948436027022,-3.0694843602702093,3.0694843602702093,3.0694843602702093,3.0694843602702093,3.0694843602702093,0.0
Johor,secondary_upper,female,1,98.5,95.44120573199223,3.058794268007773,3.058794268007773,3.058794268007773,3.058794268007773,3.058794268007773,0.0
Negeri Sembilan,secondary_lower,male,1,99.9,96.86592846973858,3.0340715302614285,3.0340715302614285,3.0340715302614285,3.0340715302614285,3.0340715302614285,0.0
Perlis,secondary_upper,male,1,97.6,94.57527155912892,3.0247284408710726,3.0247284408710726,3.0247284408710726,3.0247284408710726,3.0247284408710726,0.0
Kedah,secondary_upper,female,1,99.6,96.58927055367354,3.010729446326451,3.010729446326451,3.010729446326451,3.010729446326451,3.010729446326451,0.0
Kelantan,primary,female,1,99.2,102.19268417937326,-2.9926841793732564,2.9926841793732564,2.9926841793732564,2.9926841793732564,2.9926841793732564,0.0
Kedah,secondary_upper,male,1,98.7,95.77830919415997,2.9216908058400293,2.9216908058400293,2.9216908058400293,2.9216908058400293,2.9216908058400293,0.0
