state,stage,sex,completion_rate,year,malaysia_completion_rate,completion_gap_from_malaysia,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_year,target_delta,lag1_completion_rate,lag1_completion_gap_from_malaysia,completion_rate_change_1y,gap_change_1y,rolling2_completion_mean,rolling2_gap_mean,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y,tfr,total_state_population,same_sex_total_population,same_sex_school_age_population,same_sex_school_age_share,log_population_total,is_federal_territory,is_small_population_state,households,living_quarters,households_per_living_quarter,living_quarters_per_household,log_households,income_mean,income_median,income_data_age,poverty_absolute,poverty_hardcore,poverty_relative,poverty_data_age
Johor,primary,female,99.3,2022,99.3,0.0,,,2023,,99.7,0.7000000000000028,-0.4000000000000057,-0.7000000000000028,99.30000000000001,0.6000000000000014,908.0,331205.0,26783.0,12.366239778964268,364.7632158590308,29.49669603524229,0.002207505518763808,-0.002024846554597004,-0.023872002332531506,1.59,4028.3,1890.0,473.7,0.11759302931757813,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517.0,6879.0,6,4.6,0.1,15.9,6
Johor,primary,male,98.7,2022,99.3,-0.5999999999999943,,,2023,,91.8,-7.200000000000003,6.900000000000006,6.6000000000000085,94.69999999999999,-4.000000000000007,908.0,331205.0,26783.0,12.366239778964268,364.7632158590308,29.49669603524229,0.002207505518763808,-0.002024846554597004,-0.023872002332531506,1.59,4028.3,2138.2,508.5,0.12623190924211206,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517.0,6879.0,6,4.6,0.1,15.9,6
Johor,secondary_lower,female,97.6,2022,99.0,-1.4000000000000057,,,2023,,98.4,-1.3999999999999915,-0.8000000000000114,-1.4210854715202004e-14,98.35,-0.44999999999999574,,,,,,,,,,1.59,4028.3,1890.0,473.7,0.11759302931757813,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517.0,6879.0,6,4.6,0.1,15.9,6
Johor,secondary_lower,male,102.5,2022,99.0,3.5,,,2023,,97.4,-2.3999999999999915,5.099999999999994,5.8999999999999915,96.5,-2.299999999999997,,,,,,,,,,1.59,4028.3,2138.2,508.5,0.12623190924211206,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517.0,6879.0,6,4.6,0.1,15.9,6
Johor,secondary_upper,female,98.5,2022,99.2,-0.7000000000000028,,,2023,,97.2,-0.5999999999999943,1.2999999999999972,-0.10000000000000853,93.65,-1.6499999999999986,,,,,,,,,,1.59,4028.3,1890.0,473.7,0.11759302931757813,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517.0,6879.0,6,4.6,0.1,15.9,6
Johor,secondary_upper,male,97.8,2022,99.2,-1.4000000000000057,,,2023,,96.8,-1.0,1.0,-0.4000000000000057,92.55,-2.75,,,,,,,,,,1.59,4028.3,2138.2,508.5,0.12623190924211206,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517.0,6879.0,6,4.6,0.1,15.9,6
Kedah,primary,female,102.4,2022,99.3,3.1000000000000085,,,2023,,99.3,0.29999999999999716,3.1000000000000085,2.8000000000000114,100.1,1.3999999999999986,548.0,188524.0,17437.0,10.81172219991971,344.021897810219,31.81934306569343,0.0,-0.0038098760865544756,0.030677385033691884,1.83,2163.1,1061.9,259.7,0.120059174333133,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550.0,4402.0,6,9.0,0.3,11.9,6
Kedah,primary,male,99.8,2022,99.3,0.5,,,2023,,95.3,-3.700000000000003,4.5,4.200000000000003,97.3,-1.4000000000000057,548.0,188524.0,17437.0,10.81172219991971,344.021897810219,31.81934306569343,0.0,-0.0038098760865544756,0.030677385033691884,1.83,2163.1,1101.2,278.0,0.1285192547732421,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550.0,4402.0,6,9.0,0.3,11.9,6
Kedah,secondary_lower,female,99.2,2022,99.0,0.20000000000000284,,,2023,,100.9,1.1000000000000085,-1.7000000000000028,-0.9000000000000057,99.75,0.9500000000000028,,,,,,,,,,1.83,2163.1,1061.9,259.7,0.120059174333133,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550.0,4402.0,6,9.0,0.3,11.9,6
Kedah,secondary_lower,male,99.6,2022,99.0,0.5999999999999943,,,2023,,99.7,-0.09999999999999432,-0.10000000000000853,0.6999999999999886,97.35,-1.4499999999999957,,,,,,,,,,1.83,2163.1,1101.2,278.0,0.1285192547732421,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550.0,4402.0,6,9.0,0.3,11.9,6
Kedah,secondary_upper,female,99.6,2022,99.2,0.3999999999999915,,,2023,,100.0,2.200000000000003,-0.4000000000000057,-1.8000000000000114,98.95,3.6500000000000057,,,,,,,,,,1.83,2163.1,1061.9,259.7,0.120059174333133,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550.0,4402.0,6,9.0,0.3,11.9,6
Kedah,secondary_upper,male,98.7,2022,99.2,-0.5,,,2023,,101.2,3.4000000000000057,-2.5,-3.9000000000000057,98.35,3.0500000000000043,,,,,,,,,,1.83,2163.1,1101.2,278.0,0.1285192547732421,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550.0,4402.0,6,9.0,0.3,11.9,6
Kelantan,primary,female,99.2,2022,99.3,-0.09999999999999432,,,2023,,101.8,2.799999999999997,-2.5999999999999943,-2.8999999999999915,101.65,2.9499999999999957,418.0,172145.0,16364.0,10.51973845025666,411.83014354066984,39.14832535885167,0.0,0.0033923398401753957,0.018358329703155096,2.65,1830.6,912.0,272.3,0.14874904402928002,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885.0,3614.0,6,13.2,0.8,12.2,6
Kelantan,primary,male,97.3,2022,99.3,-2.0,,,2023,,98.7,-0.29999999999999716,-1.4000000000000057,-1.7000000000000028,98.15,-0.5500000000000043,418.0,172145.0,16364.0,10.51973845025666,411.83014354066984,39.14832535885167,0.0,0.0033923398401753957,0.018358329703155096,2.65,1830.6,918.5,288.4,0.1575439746531192,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885.0,3614.0,6,13.2,0.8,12.2,6
Kelantan,secondary_lower,female,98.7,2022,99.0,-0.29999999999999716,,,2023,,112.9,13.100000000000009,-14.200000000000003,-13.400000000000006,112.9,14.100000000000009,,,,,,,,,,2.65,1830.6,912.0,272.3,0.14874904402928002,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885.0,3614.0,6,13.2,0.8,12.2,6
Kelantan,secondary_lower,male,99.4,2022,99.0,0.4000000000000057,,,2023,,110.5,10.700000000000003,-11.099999999999994,-10.299999999999997,108.75,9.950000000000003,,,,,,,,,,2.65,1830.6,918.5,288.4,0.1575439746531192,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885.0,3614.0,6,13.2,0.8,12.2,6
Kelantan,secondary_upper,female,98.8,2022,99.2,-0.4000000000000057,,,2023,,99.6,1.7999999999999972,-0.7999999999999972,-2.200000000000003,99.1,3.799999999999997,,,,,,,,,,2.65,1830.6,912.0,272.3,0.14874904402928002,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885.0,3614.0,6,13.2,0.8,12.2,6
Kelantan,secondary_upper,male,100.0,2022,99.2,0.7999999999999972,,,2023,,101.1,3.299999999999997,-1.0999999999999943,-2.5,98.94999999999999,3.6499999999999986,,,,,,,,,,2.65,1830.6,918.5,288.4,0.1575439746531192,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885.0,3614.0,6,13.2,0.8,12.2,6
Melaka,primary,female,100.3,2022,99.3,1.0,,,2023,,96.8,-2.200000000000003,3.5,3.200000000000003,98.0,-0.7000000000000028,238.0,86269.0,7842.0,11.000892629431268,362.47478991596637,32.94957983193277,0.0,0.009785445904978207,0.01304740989536235,1.66,1008.6,479.8,121.69999999999999,0.12066230418401744,6.917309491786948,0,0,285000,339600,0.8392226148409894,1.191578947368421,12.560247968016562,8057.0,6210.0,6,4.2,0.1,13.2,6
Melaka,primary,male,98.7,2022,99.3,-0.5999999999999943,,,2023,,93.5,-5.5,5.200000000000003,4.900000000000006,95.6,-3.1000000000000014,238.0,86269.0,7842.0,11.000892629431268,362.47478991596637,32.94957983193277,0.0,0.009785445904978207,0.01304740989536235,1.66,1008.6,528.8,133.8,0.13265913146936348,6.917309491786948,0,0,285000,339600,0.8392226148409894,1.191578947368421,12.560247968016562,8057.0,6210.0,6,4.2,0.1,13.2,6
Melaka,secondary_lower,female,99.3,2022,99.0,0.29999999999999716,,,2023,,99.2,-0.5999999999999943,0.09999999999999432,0.8999999999999915,98.9,0.10000000000000142,,,,,,,,,,1.66,1008.6,479.8,121.69999999999999,0.12066230418401744,6.917309491786948,0,0,285000,339600,0.8392226148409894,1.191578947368421,12.560247968016562,8057.0,6210.0,6,4.2,0.1,13.2,6
Melaka,secondary_lower,male,98.6,2022,99.0,-0.4000000000000057,,,2023,,97.1,-2.700000000000003,1.5,2.299999999999997,97.0,-1.7999999999999972,,,,,,,,,,1.66,1008.6,528.8,133.8,0.13265913146936348,6.917309491786948,0,0,285000,339600,0.8392226148409894,1.191578947368421,12.560247968016562,8057.0,6210.0,6,4.2,0.1,13.2,6
