Feature Name,Importance Mean,Importance Standard Deviation,Absolute Importance Mean,Selected Feature Set,Scoring Method,Repeat Count,Diagnostic Note,Inferred Feature Group
stage,-0.15819063031522385,0.055834872697346535,0.15819063031522385,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,categorical
completion_gap_from_malaysia,-0.1433910077019411,0.06257579436185245,0.1433910077019411,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
completion_rate_change_1y,-0.10627509873747029,0.02238118737249257,0.10627509873747029,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
lag1_completion_rate,0.09220331603803406,0.059484872260477585,0.09220331603803406,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
rolling2_completion_mean,-0.0772658644212907,0.08031784495292016,0.0772658644212907,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
state,-0.05410036043820929,0.020021038038436887,0.05410036043820929,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,categorical
completion_rate,-0.05231134586404287,0.04087322587974836,0.05231134586404287,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
lag1_completion_gap_from_malaysia,0.026663006814585413,0.01444369397305193,0.026663006814585413,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
students_growth_1y,-0.025572485462589965,0.0164761324764387,0.025572485462589965,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
sex,-0.02450510148061184,0.014674238976503195,0.02450510148061184,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,categorical
gap_change_1y,-0.01877892776252555,0.028285243475903384,0.01877892776252555,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
students_per_teacher,-0.017860767577128348,0.0055167262165762305,0.017860767577128348,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
rolling2_gap_mean,-0.014293562983042666,0.01653898395323311,0.014293562983042666,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
schools_total,0.0135633983016334,0.008816851261763637,0.0135633983016334,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
students_total,0.013502360424996121,0.006453877515693235,0.013502360424996121,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
teachers_total,0.008638810613333566,0.0040346935912022475,0.008638810613333566,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
teachers_per_school,-0.004992015996744333,0.0041019155284793005,0.004992015996744333,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
teachers_growth_1y,0.004708092725429432,0.0030796284573569063,0.004708092725429432,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
students_per_school,0.0013770718695595096,0.0018993443574969416,0.0013770718695595096,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
schools_growth_1y,-0.0004551974858204133,0.0005973927843754465,0.0004551974858204133,autoregressive_categorical_education,manual_neg_mean_absolute_error,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
