Candidate Name,n_estimators,max_depth,min_samples_leaf
rf_n100_dNone_leaf1,100,,1
rf_n100_dNone_leaf2,100,,2
rf_n100_dNone_leaf5,100,,5
rf_n100_d5_leaf1,100,5.0,1
rf_n100_d5_leaf2,100,5.0,2
rf_n100_d5_leaf5,100,5.0,5
rf_n100_d10_leaf1,100,10.0,1
rf_n100_d10_leaf2,100,10.0,2
rf_n100_d10_leaf5,100,10.0,5
rf_n200_dNone_leaf1,200,,1
rf_n200_dNone_leaf2,200,,2
rf_n200_dNone_leaf5,200,,5
rf_n200_d5_leaf1,200,5.0,1
rf_n200_d5_leaf2,200,5.0,2
rf_n200_d5_leaf5,200,5.0,5
rf_n200_d10_leaf1,200,10.0,1
rf_n200_d10_leaf2,200,10.0,2
rf_n200_d10_leaf5,200,10.0,5
rf_n500_dNone_leaf1,500,,1
rf_n500_dNone_leaf2,500,,2
rf_n500_dNone_leaf5,500,,5
rf_n500_d5_leaf1,500,5.0,1
rf_n500_d5_leaf2,500,5.0,2
rf_n500_d5_leaf5,500,5.0,5
rf_n500_d10_leaf1,500,10.0,1
rf_n500_d10_leaf2,500,10.0,2
rf_n500_d10_leaf5,500,10.0,5
