state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta,lag1_completion_rate,lag1_completion_gap_from_malaysia,completion_rate_change_1y,gap_change_1y,rolling2_completion_mean,rolling2_gap_mean
johor,primary,female,2016,99.48,99.14,0.3400000000000034,2017,99.71,0.8799999999999955,0.22999999999998977,,,,,99.48,0.3400000000000034
johor,primary,female,2017,99.71,98.83,0.8799999999999955,2018,98.2,-0.3199999999999932,-1.509999999999991,99.48,0.3400000000000034,0.22999999999998977,0.539999999999992,99.595,0.6099999999999994
johor,primary,female,2018,98.2,98.52,-0.3199999999999932,2019,98.2,-0.5,0.0,99.71,0.8799999999999955,-1.509999999999991,-1.1999999999999886,98.955,0.28000000000000114
johor,primary,female,2019,98.2,98.7,-0.5,2020,98.9,-0.3999999999999915,0.7000000000000028,98.2,-0.3199999999999932,0.0,-0.18000000000000682,98.2,-0.4099999999999966
johor,primary,female,2020,98.9,99.3,-0.3999999999999915,2021,99.7,-0.7999999999999972,0.7999999999999972,98.2,-0.5,0.7000000000000028,0.10000000000000853,98.55000000000001,-0.44999999999999574
johor,primary,female,2021,99.7,100.5,-0.7999999999999972,2022,99.3,-0.7999999999999972,-0.4000000000000057,98.9,-0.3999999999999915,0.7999999999999972,-0.4000000000000057,99.30000000000001,-0.5999999999999943
johor,primary,female,2022,99.3,100.1,-0.7999999999999972,2023,,,,99.7,-0.7999999999999972,-0.4000000000000057,0.0,99.5,-0.7999999999999972
johor,primary,male,2016,98.67,97.64,1.0300000000000011,2017,98.59,1.25,-0.0799999999999983,,,,,98.67,1.0300000000000011
johor,primary,male,2017,98.59,97.34,1.25,2018,96.97,0.10999999999999943,-1.6200000000000045,98.67,1.0300000000000011,-0.0799999999999983,0.21999999999999886,98.63,1.1400000000000006
johor,primary,male,2018,96.97,96.86,0.10999999999999943,2019,97.2,0.0,0.23000000000000398,98.59,1.25,-1.6200000000000045,-1.1400000000000006,97.78,0.6799999999999997
johor,primary,male,2019,97.2,97.2,0.0,2020,97.6,0.0,0.3999999999999915,96.97,0.10999999999999943,0.23000000000000398,-0.10999999999999943,97.08500000000001,0.054999999999999716
johor,primary,male,2020,97.6,97.6,0.0,2021,91.8,-5.700000000000003,-5.799999999999997,97.2,0.0,0.3999999999999915,0.0,97.4,0.0
johor,primary,male,2021,91.8,97.5,-5.700000000000003,2022,98.7,0.0,6.900000000000006,97.6,0.0,-5.799999999999997,-5.700000000000003,94.69999999999999,-2.8500000000000014
johor,primary,male,2022,98.7,98.7,0.0,2023,,,,91.8,-5.700000000000003,6.900000000000006,5.700000000000003,95.25,-2.8500000000000014
johor,secondary_lower,female,2016,96.7463,97.0444,-0.29809999999999093,2017,100.5709,1.9176999999999964,3.8245999999999896,,,,,96.7463,-0.29809999999999093
johor,secondary_lower,female,2017,100.5709,98.6532,1.9176999999999964,2018,99.4141,1.733000000000004,-1.1567999999999898,96.7463,-0.29809999999999093,3.8245999999999896,2.2157999999999873,98.6586,0.8098000000000027
johor,secondary_lower,female,2018,99.4141,97.6811,1.733000000000004,2019,96.8,-1.2000000000000028,-2.6141000000000076,100.5709,1.9176999999999964,-1.1567999999999898,-0.18469999999999231,99.9925,1.8253500000000003
johor,secondary_lower,female,2019,96.8,98.0,-1.2000000000000028,2020,98.3,-1.0,1.5,99.4141,1.733000000000004,-2.6141000000000076,-2.933000000000007,98.10705,0.2665000000000006
johor,secondary_lower,female,2020,98.3,99.3,-1.0,2021,98.4,-2.0,0.10000000000000853,96.8,-1.2000000000000028,1.5,0.20000000000000284,97.55,-1.1000000000000014
johor,secondary_lower,female,2021,98.4,100.4,-2.0,2022,97.6,-1.3000000000000114,-0.8000000000000114,98.3,-1.0,0.10000000000000853,-1.0,98.35,-1.5
johor,secondary_lower,female,2022,97.6,98.9,-1.3000000000000114,2023,,,,98.4,-2.0,-0.8000000000000114,0.6999999999999886,98.0,-1.6500000000000057
johor,secondary_lower,male,2016,92.884,94.1613,-1.2772999999999968,2017,98.5141,1.7010999999999967,5.630099999999999,,,,,92.884,-1.2772999999999968
johor,secondary_lower,male,2017,98.5141,96.813,1.7010999999999967,2018,99.9562,4.330799999999996,1.4420999999999964,92.884,-1.2772999999999968,5.630099999999999,2.9783999999999935,95.69905,0.21189999999999998
