year,stage,sex,Mean_State_Completion_Rate,Mean_Completion_Gap,Row_Count
2016,primary,female,99.56125,0.4212499999999979,16
2017,primary,female,98.81625,-0.01374999999999904,16
2018,primary,female,98.83875,0.318750000000005,16
2019,primary,female,98.51875,-0.18125000000000302,16
2020,primary,female,99.4875,0.18750000000000266,16
2021,primary,female,98.33125,-2.1687499999999993,16
2022,primary,female,100.5,0.4000000000000057,16
2016,primary,male,97.776875,0.13687500000000075,16
2017,primary,male,97.408125,0.06812499999999755,16
2018,primary,male,97.135,0.27500000000000124,16
2019,primary,male,96.94375,-0.2562500000000014,16
2020,primary,male,97.3125,-0.2874999999999952,16
2021,primary,male,95.13125,-2.3687500000000004,16
2022,primary,male,98.5375,-0.16250000000000409,16
2016,secondary_lower,female,97.0032875,-0.041112499999993446,16
2017,secondary_lower,female,99.12478125,0.47158125000000073,16
2018,secondary_lower,female,96.91016875,-0.7709312499999994,16
2019,secondary_lower,female,98.40625,0.40625,16
2020,secondary_lower,female,100.21875,0.918750000000002,16
2021,secondary_lower,female,99.98125,-0.41875000000000373,16
2022,secondary_lower,female,99.74375,0.8437499999999956,16
2016,secondary_lower,male,94.1843875,0.02308750000000437,16
2017,secondary_lower,male,97.36104375,0.548043749999997,16
2018,secondary_lower,male,95.063075,-0.5623249999999995,16
2019,secondary_lower,male,95.7875,0.38749999999999307,16
2020,secondary_lower,male,97.28125,0.8812499999999952,16
2021,secondary_lower,male,98.79375,-0.40625000000000444,16
2022,secondary_lower,male,99.475,0.2749999999999968,16
2016,secondary_upper,female,99.88678125,0.39458125000000344,16
2017,secondary_upper,female,97.0100875,-0.4819125000000044,16
2018,secondary_upper,female,95.99218125,-0.5210187499999979,16
2019,secondary_upper,female,99.54375,0.6437499999999945,16
2020,secondary_upper,female,93.8625,0.2625000000000055,16
2021,secondary_upper,female,97.69375,-0.20625000000000604,16
2022,secondary_upper,female,99.2125,-0.08749999999999858,16
2016,secondary_upper,male,99.3702875,0.3780875000000048,16
2017,secondary_upper,male,95.094075,-0.11852499999999466,16
2018,secondary_upper,male,94.61875625,-0.09904374999999632,16
2019,secondary_upper,male,96.65625,0.5562500000000057,16
2020,secondary_upper,male,92.55,0.5500000000000016,16
2021,secondary_upper,male,97.65,0.05000000000000604,16
2022,secondary_upper,male,99.3625,0.2625000000000055,16
