state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia
johor,primary,female,2016,99.48,99.14,0.3400000000000034
johor,primary,female,2017,99.71,98.83,0.8799999999999955
johor,primary,female,2018,98.2,98.52,-0.3199999999999932
johor,primary,female,2019,98.2,98.7,-0.5
johor,primary,female,2020,98.9,99.3,-0.3999999999999915
johor,primary,female,2021,99.7,100.5,-0.7999999999999972
johor,primary,female,2022,99.3,100.1,-0.7999999999999972
kedah,primary,female,2016,100.85,99.14,1.7099999999999937
kedah,primary,female,2017,100.84,98.83,2.010000000000005
kedah,primary,female,2018,101.4,98.52,2.8800000000000097
kedah,primary,female,2019,100.8,98.7,2.0999999999999943
kedah,primary,female,2020,100.9,99.3,1.6000000000000085
kedah,primary,female,2021,99.3,100.5,-1.2000000000000028
kedah,primary,female,2022,102.4,100.1,2.3000000000000114
kelantan,primary,female,2016,101.49,99.14,2.3499999999999943
kelantan,primary,female,2017,101.41,98.83,2.5799999999999983
kelantan,primary,female,2018,100.59,98.52,2.0700000000000074
kelantan,primary,female,2019,101.1,98.7,2.3999999999999915
kelantan,primary,female,2020,101.5,99.3,2.200000000000003
kelantan,primary,female,2021,101.8,100.5,1.2999999999999972
kelantan,primary,female,2022,99.2,100.1,-0.8999999999999915
melaka,primary,female,2016,100.17,99.14,1.0300000000000011
melaka,primary,female,2017,99.92,98.83,1.0900000000000034
melaka,primary,female,2018,99.17,98.52,0.6500000000000057
melaka,primary,female,2019,100.3,98.7,1.5999999999999943
melaka,primary,female,2020,99.2,99.3,-0.09999999999999432
melaka,primary,female,2021,96.8,100.5,-3.700000000000003
melaka,primary,female,2022,100.3,100.1,0.20000000000000284
negeri sembilan,primary,female,2016,99.96,99.14,0.8199999999999932
negeri sembilan,primary,female,2017,99.49,98.83,0.6599999999999966
negeri sembilan,primary,female,2018,100.67,98.52,2.1500000000000057
negeri sembilan,primary,female,2019,99.2,98.7,0.5
negeri sembilan,primary,female,2020,100.5,99.3,1.2000000000000028
negeri sembilan,primary,female,2021,102.9,100.5,2.4000000000000057
negeri sembilan,primary,female,2022,102.7,100.1,2.6000000000000085
pahang,primary,female,2016,98.72,99.14,-0.4200000000000017
pahang,primary,female,2017,98.85,98.83,0.01999999999999602
pahang,primary,female,2018,97.65,98.52,-0.8699999999999903
pahang,primary,female,2019,97.5,98.7,-1.2000000000000028
pahang,primary,female,2020,97.9,99.3,-1.3999999999999915
pahang,primary,female,2021,97.9,100.5,-2.5999999999999943
pahang,primary,female,2022,98.1,100.1,-2.0
perak,primary,female,2016,99.28,99.14,0.14000000000000057
perak,primary,female,2017,99.37,98.83,0.5400000000000063
perak,primary,female,2018,98.51,98.52,-0.009999999999990905
perak,primary,female,2019,99.3,98.7,0.5999999999999943
perak,primary,female,2020,99.8,99.3,0.5
perak,primary,female,2021,99.7,100.5,-0.7999999999999972
perak,primary,female,2022,100.9,100.1,0.8000000000000114
perlis,primary,female,2016,100.66,99.14,1.519999999999996
perlis,primary,female,2017,100.44,98.83,1.6099999999999994
perlis,primary,female,2018,100.11,98.52,1.5900000000000034
perlis,primary,female,2019,101.2,98.7,2.5
perlis,primary,female,2020,100.0,99.3,0.7000000000000028
perlis,primary,female,2021,99.8,100.5,-0.7000000000000028
perlis,primary,female,2022,107.2,100.1,7.1000000000000085
pulau pinang,primary,female,2016,97.2,99.14,-1.9399999999999977
pulau pinang,primary,female,2017,98.16,98.83,-0.6700000000000017
pulau pinang,primary,female,2018,97.2,98.52,-1.3199999999999932
pulau pinang,primary,female,2019,97.1,98.7,-1.6000000000000085
pulau pinang,primary,female,2020,97.8,99.3,-1.5
pulau pinang,primary,female,2021,96.8,100.5,-3.700000000000003
pulau pinang,primary,female,2022,98.9,100.1,-1.1999999999999886
sabah,primary,female,2016,100.24,99.14,1.0999999999999943
sabah,primary,female,2017,99.59,98.83,0.7600000000000051
sabah,primary,female,2018,100.16,98.52,1.6400000000000006
sabah,primary,female,2019,101.2,98.7,2.5
sabah,primary,female,2020,101.0,99.3,1.7000000000000028
sabah,primary,female,2021,98.1,100.5,-2.4000000000000057
sabah,primary,female,2022,100.8,100.1,0.7000000000000028
sarawak,primary,female,2016,100.02,99.14,0.8799999999999955
sarawak,primary,female,2017,99.98,98.83,1.1500000000000057
sarawak,primary,female,2018,99.57,98.52,1.0499999999999972
sarawak,primary,female,2019,100.0,98.7,1.2999999999999972
sarawak,primary,female,2020,100.1,99.3,0.7999999999999972
sarawak,primary,female,2021,100.7,100.5,0.20000000000000284
sarawak,primary,female,2022,101.1,100.1,1.0
selangor,primary,female,2016,97.59,99.14,-1.5499999999999972
selangor,primary,female,2017,96.6,98.83,-2.230000000000004
selangor,primary,female,2018,96.51,98.52,-2.009999999999991
selangor,primary,female,2019,96.9,98.7,-1.7999999999999972
selangor,primary,female,2020,98.1,99.3,-1.2000000000000028
selangor,primary,female,2021,105.4,100.5,4.900000000000006
selangor,primary,female,2022,99.1,100.1,-1.0
terengganu,primary,female,2016,101.43,99.14,2.2900000000000063
terengganu,primary,female,2017,101.45,98.83,2.6200000000000045
terengganu,primary,female,2018,101.81,98.52,3.2900000000000063
terengganu,primary,female,2019,101.5,98.7,2.799999999999997
terengganu,primary,female,2020,101.9,99.3,2.6000000000000085
terengganu,primary,female,2021,104.4,100.5,3.9000000000000057
terengganu,primary,female,2022,104.6,100.1,4.5
w.p. kuala lumpur,primary,female,2016,93.13,99.14,-6.010000000000005
w.p. kuala lumpur,primary,female,2017,91.38,98.83,-7.450000000000003
w.p. kuala lumpur,primary,female,2018,92.1,98.52,-6.420000000000002
w.p. kuala lumpur,primary,female,2019,92.5,98.7,-6.200000000000003
w.p. kuala lumpur,primary,female,2020,93.1,99.3,-6.200000000000003
w.p. kuala lumpur,primary,female,2021,96.8,100.5,-3.700000000000003
w.p. kuala lumpur,primary,female,2022,94.6,100.1,-5.5
w.p. labuan,primary,female,2016,97.96,99.14,-1.1800000000000068
w.p. labuan,primary,female,2017,90.31,98.83,-8.519999999999996
