state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta
johor,primary,both,2016,99.06,98.37,0.6899999999999977,2017,99.14,1.0700000000000074,0.0799999999999983
johor,primary,both,2017,99.14,98.07,1.0700000000000074,2018,97.56,-0.10999999999999943,-1.5799999999999983
johor,primary,both,2018,97.56,97.67,-0.10999999999999943,2019,97.7,-0.29999999999999716,0.14000000000000057
johor,primary,both,2019,97.7,98.0,-0.29999999999999716,2020,98.2,-0.20000000000000284,0.5
johor,primary,both,2020,98.2,98.4,-0.20000000000000284,2021,95.5,-3.5,-2.700000000000003
johor,primary,both,2021,95.5,99.0,-3.5,2022,99.0,-0.29999999999999716,3.5
johor,primary,both,2022,99.0,99.3,-0.29999999999999716,2023,,,
johor,primary,female,2016,99.48,99.14,0.3400000000000034,2017,99.71,0.8799999999999955,0.22999999999998977
johor,primary,female,2017,99.71,98.83,0.8799999999999955,2018,98.2,-0.3199999999999932,-1.509999999999991
johor,primary,female,2018,98.2,98.52,-0.3199999999999932,2019,98.2,-0.5,0.0
johor,primary,female,2019,98.2,98.7,-0.5,2020,98.9,-0.3999999999999915,0.7000000000000028
johor,primary,female,2020,98.9,99.3,-0.3999999999999915,2021,99.7,-0.7999999999999972,0.7999999999999972
johor,primary,female,2021,99.7,100.5,-0.7999999999999972,2022,99.3,-0.7999999999999972,-0.4000000000000057
johor,primary,female,2022,99.3,100.1,-0.7999999999999972,2023,,,
johor,primary,male,2016,98.67,97.64,1.0300000000000011,2017,98.59,1.25,-0.0799999999999983
johor,primary,male,2017,98.59,97.34,1.25,2018,96.97,0.10999999999999943,-1.6200000000000045
johor,primary,male,2018,96.97,96.86,0.10999999999999943,2019,97.2,0.0,0.23000000000000398
johor,primary,male,2019,97.2,97.2,0.0,2020,97.6,0.0,0.3999999999999915
johor,primary,male,2020,97.6,97.6,0.0,2021,91.8,-5.700000000000003,-5.799999999999997
johor,primary,male,2021,91.8,97.5,-5.700000000000003,2022,98.7,0.0,6.900000000000006
johor,primary,male,2022,98.7,98.7,0.0,2023,,,
johor,secondary_lower,both,2016,94.7645,95.582,-0.8174999999999955,2017,99.5251,1.7999999999999972,4.760599999999997
johor,secondary_lower,both,2017,99.5251,97.7251,1.7999999999999972,2018,99.6891,3.051400000000001,0.16400000000000148
johor,secondary_lower,both,2018,99.6891,96.6377,3.051400000000001,2019,95.2,-1.5,-4.489099999999993
johor,secondary_lower,both,2019,95.2,96.7,-1.5,2020,96.9,-0.8999999999999915,1.7000000000000028
johor,secondary_lower,both,2020,96.9,97.8,-0.8999999999999915,2021,97.9,-1.8999999999999915,1.0
johor,secondary_lower,both,2021,97.9,99.8,-1.8999999999999915,2022,100.1,1.0999999999999943,2.1999999999999886
johor,secondary_lower,both,2022,100.1,99.0,1.0999999999999943,2023,,,
johor,secondary_lower,female,2016,96.7463,97.0444,-0.29809999999999093,2017,100.5709,1.9176999999999964,3.8245999999999896
johor,secondary_lower,female,2017,100.5709,98.6532,1.9176999999999964,2018,99.4141,1.733000000000004,-1.1567999999999898
johor,secondary_lower,female,2018,99.4141,97.6811,1.733000000000004,2019,96.8,-1.2000000000000028,-2.6141000000000076
johor,secondary_lower,female,2019,96.8,98.0,-1.2000000000000028,2020,98.3,-1.0,1.5
johor,secondary_lower,female,2020,98.3,99.3,-1.0,2021,98.4,-2.0,0.10000000000000853
johor,secondary_lower,female,2021,98.4,100.4,-2.0,2022,97.6,-1.3000000000000114,-0.8000000000000114
johor,secondary_lower,female,2022,97.6,98.9,-1.3000000000000114,2023,,,
johor,secondary_lower,male,2016,92.884,94.1613,-1.2772999999999968,2017,98.5141,1.7010999999999967,5.630099999999999
johor,secondary_lower,male,2017,98.5141,96.813,1.7010999999999967,2018,99.9562,4.330799999999996,1.4420999999999964
johor,secondary_lower,male,2018,99.9562,95.6254,4.330799999999996,2019,93.5,-1.9000000000000057,-6.4561999999999955
johor,secondary_lower,male,2019,93.5,95.4,-1.9000000000000057,2020,95.6,-0.8000000000000114,2.0999999999999943
