state,year,income_mean,income_median,income_year_used,income_data_age,poverty_absolute,poverty_hardcore,poverty_relative,poverty_year_used,poverty_data_age
johor,2016,6928,5652.0,2016,0,0.0,0.0,13.5,2016,0
johor,2017,6928,5652.0,2016,1,0.0,0.0,13.5,2016,1
johor,2018,6928,5652.0,2016,2,0.0,0.0,13.5,2016,2
johor,2019,8013,6427.0,2019,0,3.9,0.2,15.3,2019,0
johor,2020,7264,5690.0,2020,0,5.9,0.6,13.9,2020,0
johor,2021,7264,5690.0,2020,1,5.9,0.6,13.9,2020,1
johor,2022,8517,6879.0,2022,0,4.6,0.1,15.9,2022,0
kedah,2016,4971,3811.0,2016,0,0.2,0.0,15.9,2016,0
kedah,2017,4971,3811.0,2016,1,0.2,0.0,15.9,2016,1
kedah,2018,4971,3811.0,2016,2,0.2,0.0,15.9,2016,2
kedah,2019,5522,4325.0,2019,0,8.8,0.5,10.9,2019,0
kedah,2020,5005,3829.0,2020,0,12.7,1.5,10.0,2020,0
kedah,2021,5005,3829.0,2020,1,12.7,1.5,10.0,2020,1
kedah,2022,5550,4402.0,2022,0,9.0,0.3,11.9,2022,0
kelantan,2016,4214,3079.0,2016,0,0.4,0.1,12.1,2016,0
kelantan,2017,4214,3079.0,2016,1,0.4,0.1,12.1,2016,1
kelantan,2018,4214,3079.0,2016,2,0.4,0.1,12.1,2016,2
kelantan,2019,4874,3563.0,2019,0,12.4,1.0,9.9,2019,0
kelantan,2020,4411,3010.0,2020,0,21.2,4.1,11.4,2020,0
kelantan,2021,4411,3010.0,2020,1,21.2,4.1,11.4,2020,1
kelantan,2022,4885,3614.0,2022,0,13.2,0.8,12.2,2022,0
melaka,2016,6849,5588.0,2016,0,0.0,0.0,10.7,2016,0
melaka,2017,6849,5588.0,2016,1,0.0,0.0,10.7,2016,1
melaka,2018,6849,5588.0,2016,2,0.0,0.0,10.7,2016,2
melaka,2019,7741,6054.0,2019,0,3.9,0.3,17.0,2019,0
melaka,2020,7186,5447.0,2020,0,6.1,1.1,14.4,2020,0
melaka,2021,7186,5447.0,2020,1,6.1,1.1,14.4,2020,1
melaka,2022,8057,6210.0,2022,0,4.2,0.1,13.2,2022,0
negeri sembilan,2016,5887,4579.0,2016,0,0.2,0.0,15.5,2016,0
negeri sembilan,2017,5887,4579.0,2016,1,0.2,0.0,15.5,2016,1
negeri sembilan,2018,5887,4579.0,2016,2,0.2,0.0,15.5,2016,2
negeri sembilan,2019,6707,5005.0,2019,0,4.3,0.4,11.6,2019,0
negeri sembilan,2020,6184,4478.0,2020,0,6.5,1.2,10.5,2020,0
negeri sembilan,2021,6184,4478.0,2020,1,6.5,1.2,10.5,2020,1
negeri sembilan,2022,6788,5226.0,2022,0,4.4,0.1,13.3,2022,0
pahang,2016,5012,3979.0,2016,0,0.2,0.0,8.2,2016,0
pahang,2017,5012,3979.0,2016,1,0.2,0.0,8.2,2016,1
pahang,2018,5012,3979.0,2016,2,0.2,0.0,8.2,2016,2
pahang,2019,5667,4440.0,2019,0,4.3,0.1,6.0,2019,0
pahang,2020,5144,4033.0,2020,0,8.8,1.0,7.3,2020,0
pahang,2021,5144,4033.0,2020,1,8.8,1.0,7.3,2020,1
pahang,2022,5777,4753.0,2022,0,6.3,0.1,7.7,2022,0
perak,2016,5065,4006.0,2016,0,0.2,0.0,14.1,2016,0
perak,2017,5065,4006.0,2016,1,0.2,0.0,14.1,2016,1
perak,2018,5065,4006.0,2016,2,0.2,0.0,14.1,2016,2
perak,2019,5645,4273.0,2019,0,7.3,0.5,11.3,2019,0
perak,2020,5081,3759.0,2020,0,11.4,1.5,11.1,2020,0
perak,2021,5081,3759.0,2020,1,11.4,1.5,11.1,2020,1
perak,2022,5779,4494.0,2022,0,7.5,0.2,13.5,2022,0
perlis,2016,4998,4204.0,2016,0,0.1,0.0,12.0,2016,0
perlis,2017,4998,4204.0,2016,1,0.1,0.0,12.0,2016,1
perlis,2018,4998,4204.0,2016,2,0.1,0.0,12.0,2016,2
perlis,2019,5476,4594.0,2019,0,3.9,0.3,12.0,2019,0
perlis,2020,4971,4043.0,2020,0,9.9,1.4,14.3,2020,0
perlis,2021,4971,4043.0,2020,1,9.9,1.4,14.3,2020,1
perlis,2022,5664,4713.0,2022,0,4.0,0.1,12.6,2022,0
