state,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
w.p. putrajaya,6,102.64999999999999,97.50317267801762,5.146827321982381,5.146827321982381,5.6959904918186695,5.608998321530166,7.6260956375936075,16.666666666666664
perlis,6,101.05,97.16796550088743,3.8820344991125637,3.8820344991125637,4.929553696766157,2.7765329597387023,8.695205391930514,33.33333333333333
w.p. labuan,6,98.2,96.3777611616137,1.8222388383863002,3.526950427702836,3.7616674775026233,3.220229662275351,5.33179937933707,16.666666666666664
pulau pinang,6,99.31666666666666,96.45430409482047,2.8623625718462002,2.8623625718462002,3.1985045841366992,2.591955348251858,4.874681701725535,50.0
johor,6,99.06666666666666,97.68335506314133,1.383311603525333,2.0379527048719175,2.64664311018432,1.5099847467184517,5.661721899943416,66.66666666666666
sabah,6,99.91666666666667,97.99738019192807,1.9192864747385936,1.9192864747385936,2.0950155787426357,1.4466912494277224,3.194306653397021,66.66666666666666
w.p. kuala lumpur,6,95.91666666666667,95.04892444922416,0.8677422174425024,1.7694898950940872,2.0752222633884605,1.2516087966242537,3.3578883499791488,66.66666666666666
negeri sembilan,6,100.61666666666667,98.98198756013024,1.634679106536422,1.634679106536422,1.9784307154148952,1.55441455183459,3.6361016097532683,66.66666666666666
kelantan,6,98.90000000000002,100.3364745233211,-1.4364745233210858,1.59551931832182,1.6963643635022492,1.80257945012373,2.137337837820482,50.0
perak,6,99.83333333333333,98.70791557752254,1.1254177558108058,1.2221704583324329,1.7021151917399673,0.9029967127523193,3.692473147899392,83.33333333333334
pahang,6,98.45,98.648534159934,-0.1985341599340155,1.2149159883529446,1.4879317348658445,1.092096169712164,2.7479771497861663,83.33333333333334
terengganu,6,100.85000000000001,99.93450292334653,0.9154970766534826,1.2056916494044547,1.6482585303891184,0.7686437313057866,2.851740394637332,66.66666666666666
selangor,6,98.64999999999999,97.71670059377179,0.9332994062282106,1.19407326838837,1.6094643452448496,0.6060879096457299,3.2679045234681467,83.33333333333334
kedah,6,99.88333333333334,98.89878364398227,0.9845496893510699,1.1322875667886525,1.4549672438264507,1.1298907091856734,2.391267520015319,83.33333333333334
sarawak,6,99.53333333333332,98.46227273996438,1.071060593368955,1.071060593368955,1.3212599374258878,0.8746337159600941,2.3760461090028997,83.33333333333334
melaka,6,98.71666666666665,97.75276908934757,0.9638975773190902,0.967842941475304,1.2553858095071069,0.9654735713764211,1.9404924174894518,100.0
