state,stage,sex,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
perlis,primary,female,1,107.2,98.50479460806949,8.695205391930514,8.695205391930514,8.695205391930514,8.695205391930514,8.695205391930514,0.0
w.p. putrajaya,primary,female,1,104.9,97.2739043624064,7.6260956375936075,7.6260956375936075,7.6260956375936075,7.6260956375936075,7.6260956375936075,0.0
w.p. putrajaya,secondary_lower,female,1,105.9,98.43386831671789,7.466131683282114,7.466131683282114,7.466131683282114,7.466131683282114,7.466131683282114,0.0
w.p. putrajaya,secondary_upper,male,1,104.0,96.56347695507394,7.436523044926062,7.436523044926062,7.436523044926062,7.436523044926062,7.436523044926062,0.0
perlis,primary,male,1,103.9,96.6296701032795,7.270329896720511,7.270329896720511,7.270329896720511,7.270329896720511,7.270329896720511,0.0
johor,secondary_lower,male,1,102.5,96.83827810005658,5.661721899943416,5.661721899943416,5.661721899943416,5.661721899943416,5.661721899943416,0.0
w.p. labuan,secondary_lower,female,1,103.2,97.86820062066293,5.33179937933707,5.33179937933707,5.33179937933707,5.33179937933707,5.33179937933707,0.0
w.p. labuan,secondary_lower,male,1,102.5,97.37971185579315,5.120288144206853,5.120288144206853,5.120288144206853,5.120288144206853,5.120288144206853,0.0
pulau pinang,secondary_upper,male,1,100.0,95.12531829827446,4.874681701725535,4.874681701725535,4.874681701725535,4.874681701725535,4.874681701725535,0.0
pulau pinang,secondary_upper,female,1,101.0,96.69578092634134,4.304219073658658,4.304219073658658,4.304219073658658,4.304219073658658,4.304219073658658,0.0
w.p. putrajaya,primary,male,1,101.1,97.31852640186573,3.7814735981342693,3.7814735981342693,3.7814735981342693,3.7814735981342693,3.7814735981342693,0.0
perak,secondary_upper,male,1,100.7,97.00752685210061,3.692473147899392,3.692473147899392,3.692473147899392,3.692473147899392,3.692473147899392,0.0
negeri sembilan,secondary_upper,male,1,100.9,97.26389839024674,3.6361016097532683,3.6361016097532683,3.6361016097532683,3.6361016097532683,3.6361016097532683,0.0
pulau pinang,secondary_lower,male,1,99.7,96.18469003263563,3.5153099673643737,3.5153099673643737,3.5153099673643737,3.5153099673643737,3.5153099673643737,0.0
w.p. labuan,primary,male,1,90.9,94.29353046135917,-3.3935304613591626,3.3935304613591626,3.3935304613591626,3.3935304613591626,3.3935304613591626,0.0
w.p. kuala lumpur,secondary_upper,male,1,97.0,93.64211165002085,3.3578883499791488,3.3578883499791488,3.3578883499791488,3.3578883499791488,3.3578883499791488,0.0
selangor,secondary_upper,male,1,98.9,95.63209547653186,3.2679045234681467,3.2679045234681467,3.2679045234681467,3.2679045234681467,3.2679045234681467,0.0
sabah,secondary_lower,male,1,99.5,96.30569334660298,3.194306653397021,3.194306653397021,3.194306653397021,3.194306653397021,3.194306653397021,0.0
w.p. kuala lumpur,secondary_upper,female,1,98.1,94.91897288511022,3.1810271148897726,3.1810271148897726,3.1810271148897726,3.1810271148897726,3.1810271148897726,0.0
w.p. labuan,secondary_upper,female,1,99.5,96.45307113680846,3.046928863191539,3.046928863191539,3.046928863191539,3.046928863191539,3.046928863191539,0.0
sabah,secondary_upper,male,1,99.7,96.71465963789453,2.9853403621054753,2.9853403621054753,2.9853403621054753,2.9853403621054753,2.9853403621054753,0.0
w.p. putrajaya,secondary_lower,male,1,100.9,98.0154056786269,2.8845943213731005,2.8845943213731005,2.8845943213731005,2.8845943213731005,2.8845943213731005,0.0
perlis,secondary_lower,female,1,100.3,97.41927305105945,2.8807269489405485,2.8807269489405485,2.8807269489405485,2.8807269489405485,2.8807269489405485,0.0
terengganu,primary,female,1,104.6,101.74825960536266,2.851740394637332,2.851740394637332,2.851740394637332,2.851740394637332,2.851740394637332,0.0
pahang,primary,male,1,95.1,97.84797714978616,-2.7479771497861663,2.7479771497861663,2.7479771497861663,2.7479771497861663,2.7479771497861663,0.0
perlis,secondary_lower,male,1,99.1,96.42766102946314,2.672338970536856,2.672338970536856,2.672338970536856,2.672338970536856,2.672338970536856,0.0
terengganu,primary,male,1,103.1,100.46436995966029,2.6356300403397057,2.6356300403397057,2.6356300403397057,2.6356300403397057,2.6356300403397057,0.0
