Feature Name,Feature Group,Data Type,Missing Count,Missing Percentage,Feature Kind
state,categorical_identifier,object,0,0.0,categorical
stage,categorical_identifier,object,0,0.0,categorical
sex,categorical_identifier,object,0,0.0,categorical
completion_rate,autoregressive,float64,0,0.0,numeric
completion_gap_from_malaysia,autoregressive,float64,0,0.0,numeric
lag1_completion_rate,autoregressive,float64,96,14.29,numeric
lag1_completion_gap_from_malaysia,autoregressive,float64,96,14.29,numeric
completion_rate_change_1y,autoregressive,float64,96,14.29,numeric
gap_change_1y,autoregressive,float64,96,14.29,numeric
rolling2_completion_mean,autoregressive,float64,0,0.0,numeric
rolling2_gap_mean,autoregressive,float64,0,0.0,numeric
schools_total,education_capacity,float64,96,14.29,numeric
students_total,education_capacity,float64,96,14.29,numeric
teachers_total,education_capacity,float64,96,14.29,numeric
students_per_teacher,education_capacity,float64,96,14.29,numeric
students_per_school,education_capacity,float64,96,14.29,numeric
teachers_per_school,education_capacity,float64,96,14.29,numeric
schools_growth_1y,education_capacity,float64,192,28.57,numeric
students_growth_1y,education_capacity,float64,192,28.57,numeric
teachers_growth_1y,education_capacity,float64,192,28.57,numeric
tfr,fertility,float64,0,0.0,numeric
total_state_population,population,float64,0,0.0,numeric
same_sex_total_population,population,float64,0,0.0,numeric
same_sex_school_age_population,population,float64,0,0.0,numeric
same_sex_school_age_share,population,float64,0,0.0,numeric
log_population_total,population,float64,0,0.0,numeric
is_federal_territory,population,int64,0,0.0,numeric
is_small_population_state,population,int64,0,0.0,numeric
households,household,int64,0,0.0,numeric
living_quarters,household,int64,0,0.0,numeric
households_per_living_quarter,household,float64,0,0.0,numeric
living_quarters_per_household,household,float64,0,0.0,numeric
log_households,household,float64,0,0.0,numeric
income_mean,economic_asof,int64,0,0.0,numeric
income_median,economic_asof,float64,0,0.0,numeric
income_data_age,economic_asof,int64,0,0.0,numeric
poverty_absolute,economic_asof,float64,0,0.0,numeric
poverty_hardcore,economic_asof,float64,0,0.0,numeric
poverty_relative,economic_asof,float64,0,0.0,numeric
poverty_data_age,economic_asof,int64,0,0.0,numeric
