state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta
johor,primary,female,2016,99.48,99.14,0.3400000000000034,2017,99.71,0.8799999999999955,0.22999999999998977
johor,primary,female,2017,99.71,98.83,0.8799999999999955,2018,98.2,-0.3199999999999932,-1.509999999999991
johor,primary,female,2018,98.2,98.52,-0.3199999999999932,2019,98.2,-0.5,0.0
johor,primary,female,2019,98.2,98.7,-0.5,2020,98.9,-0.3999999999999915,0.7000000000000028
johor,primary,female,2020,98.9,99.3,-0.3999999999999915,2021,99.7,-0.7999999999999972,0.7999999999999972
johor,primary,female,2021,99.7,100.5,-0.7999999999999972,2022,99.3,-0.7999999999999972,-0.4000000000000057
johor,primary,male,2016,98.67,97.64,1.0300000000000011,2017,98.59,1.25,-0.0799999999999983
johor,primary,male,2017,98.59,97.34,1.25,2018,96.97,0.10999999999999943,-1.6200000000000045
johor,primary,male,2018,96.97,96.86,0.10999999999999943,2019,97.2,0.0,0.23000000000000398
johor,primary,male,2019,97.2,97.2,0.0,2020,97.6,0.0,0.3999999999999915
johor,primary,male,2020,97.6,97.6,0.0,2021,91.8,-5.700000000000003,-5.799999999999997
johor,primary,male,2021,91.8,97.5,-5.700000000000003,2022,98.7,0.0,6.900000000000006
johor,secondary_lower,female,2016,96.7463,97.0444,-0.29809999999999093,2017,100.5709,1.9176999999999964,3.8245999999999896
johor,secondary_lower,female,2017,100.5709,98.6532,1.9176999999999964,2018,99.4141,1.733000000000004,-1.1567999999999898
johor,secondary_lower,female,2018,99.4141,97.6811,1.733000000000004,2019,96.8,-1.2000000000000028,-2.6141000000000076
johor,secondary_lower,female,2019,96.8,98.0,-1.2000000000000028,2020,98.3,-1.0,1.5
johor,secondary_lower,female,2020,98.3,99.3,-1.0,2021,98.4,-2.0,0.10000000000000853
johor,secondary_lower,female,2021,98.4,100.4,-2.0,2022,97.6,-1.3000000000000114,-0.8000000000000114
johor,secondary_lower,male,2016,92.884,94.1613,-1.2772999999999968,2017,98.5141,1.7010999999999967,5.630099999999999
johor,secondary_lower,male,2017,98.5141,96.813,1.7010999999999967,2018,99.9562,4.330799999999996,1.4420999999999964
johor,secondary_lower,male,2018,99.9562,95.6254,4.330799999999996,2019,93.5,-1.9000000000000057,-6.4561999999999955
johor,secondary_lower,male,2019,93.5,95.4,-1.9000000000000057,2020,95.6,-0.8000000000000114,2.0999999999999943
johor,secondary_lower,male,2020,95.6,96.4,-0.8000000000000114,2021,97.4,-1.7999999999999972,1.8000000000000114
johor,secondary_lower,male,2021,97.4,99.2,-1.7999999999999972,2022,102.5,3.299999999999997,5.099999999999994
johor,secondary_upper,female,2016,99.9629,99.4922,0.4707000000000079,2017,100.545,3.0529999999999973,0.582099999999997
johor,secondary_upper,female,2017,100.545,97.492,3.0529999999999973,2018,94.899,-1.6141999999999967,-5.646000000000001
johor,secondary_upper,female,2018,94.899,96.5132,-1.6141999999999967,2019,98.6,-0.30000000000001137,3.7009999999999934
johor,secondary_upper,female,2019,98.6,98.9,-0.30000000000001137,2020,90.1,-3.5,-8.5
johor,secondary_upper,female,2020,90.1,93.6,-3.5,2021,97.2,-0.7000000000000028,7.1000000000000085
johor,secondary_upper,female,2021,97.2,97.9,-0.7000000000000028,2022,98.5,-0.7999999999999972,1.2999999999999972
johor,secondary_upper,male,2016,99.0459,98.9922,0.0537000000000063,2017,97.966,2.753399999999999,-1.0799000000000092
johor,secondary_upper,male,2017,97.966,95.2126,2.753399999999999,2018,92.5617,-2.156099999999995,-5.404299999999992
johor,secondary_upper,male,2018,92.5617,94.7178,-2.156099999999995,2019,97.4,1.3000000000000114,4.838300000000004
johor,secondary_upper,male,2019,97.4,96.1,1.3000000000000114,2020,88.3,-3.700000000000003,-9.100000000000009
johor,secondary_upper,male,2020,88.3,92.0,-3.700000000000003,2021,96.8,-0.7999999999999972,8.5
johor,secondary_upper,male,2021,96.8,97.6,-0.7999999999999972,2022,97.8,-1.2999999999999972,1.0
