state,year,sex,same_sex_total_population,same_sex_school_age_population,total_state_population,same_sex_school_age_share,log_population_total,is_federal_territory,is_small_population_state
johor,1970,female,656.8,279.0,1325.6,0.42478684531059685,7.190374557091456,0,0
johor,1971,female,671.9,281.0,1355.4,0.41821699657687156,7.212589410251484,0,0
johor,1972,female,686.9,283.1,1385.3,0.4121415053137284,7.23439360654433,0,0
johor,1973,female,701.8,285.6,1414.5,0.4069535480193788,7.255238104551954,0,0
johor,1974,female,716.8,288.5,1444.4,0.40248325892857145,7.276141378848881,0,0
johor,1975,female,733.1,292.7,1477.0,0.39926340199154275,7.298445101508147,0,0
johor,1976,female,748.9,295.0,1508.4,0.39391106956870076,7.319467499850768,0,0
johor,1977,female,765.5,298.3,1541.9,0.3896799477465709,7.34141904144898,0,0
johor,1978,female,781.2,301.79999999999995,1573.4,0.3863287250384024,7.361629526297989,0,0
johor,1979,female,797.9,305.9,1606.4,0.3833813761122948,7.382373245778618,0,0
johor,1980,female,817.3,309.9,1646.2,0.3791753334149027,7.4068321557135794,0,0
johor,1981,female,836.2,312.9,1689.3,0.37419277684764407,7.432661306956132,0,0
johor,1982,female,856.1,315.2,1734.6,0.36818128723279986,7.459108453924196,0,0
johor,1983,female,876.6,316.7,1780.2,0.36128222678530686,7.485042573447547,0,0
johor,1984,female,897.4,318.1,1825.8,0.35446846445286384,7.510321081310844,0,0
johor,1985,female,920.6,320.4,1875.5,0.3480338909406908,7.537163618575075,0,0
johor,1986,female,944.4,323.2,1926.5,0.3422278695468022,7.563979105437484,0,0
johor,1987,female,968.6,327.3,1977.9,0.33791038612430313,7.590296413754858,0,0
johor,1988,female,993.6,332.2,2031.0,0.33433977455716585,7.616775808698373,0,0
johor,1989,female,1019.5,338.6,2085.5,0.33212358999509567,7.643243300031608,0,0
johor,1990,female,1045.3,346.9,2139.6,0.33186644982301733,7.668841442550275,0,0
johor,1991,female,1068.8,354.1,2188.1,0.3313061377245509,7.691245779439684,0,0
johor,1992,female,1096.8,362.3,2249.1,0.3303245805981036,7.718729938655285,0,0
johor,1993,female,1126.1,371.70000000000005,2313.4,0.33007725779238084,7.746905753661926,0,0
johor,1994,female,1155.7,379.8,2378.1,0.3286319979233365,7.774477543887798,0,0
johor,1995,female,1184.7,386.3,2441.4,0.32607411158943195,7.800736441420668,0,0
johor,1996,female,1213.4,392.1,2503.9,0.32314158562716333,7.826004092562454,0,0
johor,1997,female,1242.5,397.59999999999997,2567.5,0.31999999999999995,7.851077349907323,0,0
johor,1998,female,1272.2,402.9,2631.7,0.316695488130797,7.875765214531604,0,0
johor,1999,female,1303.8,408.29999999999995,2699.4,0.3131615278416935,7.901155189167715,0,0
johor,2000,female,1332.5,411.1,2762.5,0.30851782363977487,7.924253271273318,0,0
johor,2001,female,1361.5,418.20000000000005,2829.9,0.3071612192434815,7.948349961280673,0,0
johor,2002,female,1388.6,424.8,2893.6,0.30591963128330696,7.970602211203504,0,0
johor,2003,female,1414.2,430.8,2954.0,0.30462452269834533,7.991253929840198,0,0
johor,2004,female,1440.4,435.9,3014.6,0.30262427103582334,8.011554094337546,0,0
johor,2005,female,1465.8,440.4,3074.4,0.3004502660663119,8.031190253081592,0,0
johor,2006,female,1491.5,443.7,3134.4,0.29748575259805565,8.05051203663443,0,0
johor,2007,female,1516.7,445.3,3193.5,0.2935979429023538,8.069185860042397,0,0
johor,2008,female,1541.8,445.8,3252.3,0.2891425606434038,8.0874251447849,0,0
