Candidate Name,Feature Set,Scaler,Alpha,Numeric Feature Count,Categorical Feature Count,Total Feature Count
ridge_autoregressive_only_standard_alpha0.01,autoregressive_only,standard,0.01,8,0,8
ridge_autoregressive_only_standard_alpha0.1,autoregressive_only,standard,0.1,8,0,8
ridge_autoregressive_only_standard_alpha1.0,autoregressive_only,standard,1.0,8,0,8
ridge_autoregressive_only_standard_alpha10.0,autoregressive_only,standard,10.0,8,0,8
ridge_autoregressive_only_standard_alpha100.0,autoregressive_only,standard,100.0,8,0,8
ridge_autoregressive_only_robust_alpha0.01,autoregressive_only,robust,0.01,8,0,8
ridge_autoregressive_only_robust_alpha0.1,autoregressive_only,robust,0.1,8,0,8
ridge_autoregressive_only_robust_alpha1.0,autoregressive_only,robust,1.0,8,0,8
ridge_autoregressive_only_robust_alpha10.0,autoregressive_only,robust,10.0,8,0,8
ridge_autoregressive_only_robust_alpha100.0,autoregressive_only,robust,100.0,8,0,8
ridge_autoregressive_plus_categorical_standard_alpha0.01,autoregressive_plus_categorical,standard,0.01,8,3,11
ridge_autoregressive_plus_categorical_standard_alpha0.1,autoregressive_plus_categorical,standard,0.1,8,3,11
ridge_autoregressive_plus_categorical_standard_alpha1.0,autoregressive_plus_categorical,standard,1.0,8,3,11
ridge_autoregressive_plus_categorical_standard_alpha10.0,autoregressive_plus_categorical,standard,10.0,8,3,11
ridge_autoregressive_plus_categorical_standard_alpha100.0,autoregressive_plus_categorical,standard,100.0,8,3,11
ridge_autoregressive_plus_categorical_robust_alpha0.01,autoregressive_plus_categorical,robust,0.01,8,3,11
ridge_autoregressive_plus_categorical_robust_alpha0.1,autoregressive_plus_categorical,robust,0.1,8,3,11
ridge_autoregressive_plus_categorical_robust_alpha1.0,autoregressive_plus_categorical,robust,1.0,8,3,11
ridge_autoregressive_plus_categorical_robust_alpha10.0,autoregressive_plus_categorical,robust,10.0,8,3,11
ridge_autoregressive_plus_categorical_robust_alpha100.0,autoregressive_plus_categorical,robust,100.0,8,3,11
ridge_autoregressive_categorical_education_standard_alpha0.01,autoregressive_categorical_education,standard,0.01,17,3,20
ridge_autoregressive_categorical_education_standard_alpha0.1,autoregressive_categorical_education,standard,0.1,17,3,20
ridge_autoregressive_categorical_education_standard_alpha1.0,autoregressive_categorical_education,standard,1.0,17,3,20
ridge_autoregressive_categorical_education_standard_alpha10.0,autoregressive_categorical_education,standard,10.0,17,3,20
ridge_autoregressive_categorical_education_standard_alpha100.0,autoregressive_categorical_education,standard,100.0,17,3,20
ridge_autoregressive_categorical_education_robust_alpha0.01,autoregressive_categorical_education,robust,0.01,17,3,20
ridge_autoregressive_categorical_education_robust_alpha0.1,autoregressive_categorical_education,robust,0.1,17,3,20
ridge_autoregressive_categorical_education_robust_alpha1.0,autoregressive_categorical_education,robust,1.0,17,3,20
ridge_autoregressive_categorical_education_robust_alpha10.0,autoregressive_categorical_education,robust,10.0,17,3,20
ridge_autoregressive_categorical_education_robust_alpha100.0,autoregressive_categorical_education,robust,100.0,17,3,20
ridge_full_without_economic_standard_alpha0.01,full_without_economic,standard,0.01,30,3,33
ridge_full_without_economic_standard_alpha0.1,full_without_economic,standard,0.1,30,3,33
ridge_full_without_economic_standard_alpha1.0,full_without_economic,standard,1.0,30,3,33
ridge_full_without_economic_standard_alpha10.0,full_without_economic,standard,10.0,30,3,33
ridge_full_without_economic_standard_alpha100.0,full_without_economic,standard,100.0,30,3,33
ridge_full_without_economic_robust_alpha0.01,full_without_economic,robust,0.01,30,3,33
ridge_full_without_economic_robust_alpha0.1,full_without_economic,robust,0.1,30,3,33
ridge_full_without_economic_robust_alpha1.0,full_without_economic,robust,1.0,30,3,33
ridge_full_without_economic_robust_alpha10.0,full_without_economic,robust,10.0,30,3,33
ridge_full_without_economic_robust_alpha100.0,full_without_economic,robust,100.0,30,3,33
ridge_full_feature_set_standard_alpha0.01,full_feature_set,standard,0.01,37,3,40
ridge_full_feature_set_standard_alpha0.1,full_feature_set,standard,0.1,37,3,40
ridge_full_feature_set_standard_alpha1.0,full_feature_set,standard,1.0,37,3,40
ridge_full_feature_set_standard_alpha10.0,full_feature_set,standard,10.0,37,3,40
ridge_full_feature_set_standard_alpha100.0,full_feature_set,standard,100.0,37,3,40
ridge_full_feature_set_robust_alpha0.01,full_feature_set,robust,0.01,37,3,40
ridge_full_feature_set_robust_alpha0.1,full_feature_set,robust,0.1,37,3,40
ridge_full_feature_set_robust_alpha1.0,full_feature_set,robust,1.0,37,3,40
ridge_full_feature_set_robust_alpha10.0,full_feature_set,robust,10.0,37,3,40
ridge_full_feature_set_robust_alpha100.0,full_feature_set,robust,100.0,37,3,40
