Candidate Group,Candidate Name,Scaler,C,epsilon,gamma,Kernel
default,default_rbf_standard,standard,1.0,0.1,scale,rbf
tuned_grid,rbf_standard_C0.5_eps0.05_gammascale,standard,0.5,0.05,scale,rbf
tuned_grid,rbf_standard_C0.5_eps0.05_gamma0.01,standard,0.5,0.05,0.01,rbf
tuned_grid,rbf_standard_C0.5_eps0.05_gamma0.1,standard,0.5,0.05,0.1,rbf
tuned_grid,rbf_standard_C0.5_eps0.1_gammascale,standard,0.5,0.1,scale,rbf
tuned_grid,rbf_standard_C0.5_eps0.1_gamma0.01,standard,0.5,0.1,0.01,rbf
tuned_grid,rbf_standard_C0.5_eps0.1_gamma0.1,standard,0.5,0.1,0.1,rbf
tuned_grid,rbf_standard_C0.5_eps0.2_gammascale,standard,0.5,0.2,scale,rbf
tuned_grid,rbf_standard_C0.5_eps0.2_gamma0.01,standard,0.5,0.2,0.01,rbf
tuned_grid,rbf_standard_C0.5_eps0.2_gamma0.1,standard,0.5,0.2,0.1,rbf
tuned_grid,rbf_standard_C1.0_eps0.05_gammascale,standard,1.0,0.05,scale,rbf
tuned_grid,rbf_standard_C1.0_eps0.05_gamma0.01,standard,1.0,0.05,0.01,rbf
tuned_grid,rbf_standard_C1.0_eps0.05_gamma0.1,standard,1.0,0.05,0.1,rbf
tuned_grid,rbf_standard_C1.0_eps0.1_gammascale,standard,1.0,0.1,scale,rbf
tuned_grid,rbf_standard_C1.0_eps0.1_gamma0.01,standard,1.0,0.1,0.01,rbf
tuned_grid,rbf_standard_C1.0_eps0.1_gamma0.1,standard,1.0,0.1,0.1,rbf
tuned_grid,rbf_standard_C1.0_eps0.2_gammascale,standard,1.0,0.2,scale,rbf
tuned_grid,rbf_standard_C1.0_eps0.2_gamma0.01,standard,1.0,0.2,0.01,rbf
tuned_grid,rbf_standard_C1.0_eps0.2_gamma0.1,standard,1.0,0.2,0.1,rbf
tuned_grid,rbf_standard_C10.0_eps0.05_gammascale,standard,10.0,0.05,scale,rbf
tuned_grid,rbf_standard_C10.0_eps0.05_gamma0.01,standard,10.0,0.05,0.01,rbf
tuned_grid,rbf_standard_C10.0_eps0.05_gamma0.1,standard,10.0,0.05,0.1,rbf
tuned_grid,rbf_standard_C10.0_eps0.1_gammascale,standard,10.0,0.1,scale,rbf
tuned_grid,rbf_standard_C10.0_eps0.1_gamma0.01,standard,10.0,0.1,0.01,rbf
tuned_grid,rbf_standard_C10.0_eps0.1_gamma0.1,standard,10.0,0.1,0.1,rbf
tuned_grid,rbf_standard_C10.0_eps0.2_gammascale,standard,10.0,0.2,scale,rbf
tuned_grid,rbf_standard_C10.0_eps0.2_gamma0.01,standard,10.0,0.2,0.01,rbf
tuned_grid,rbf_standard_C10.0_eps0.2_gamma0.1,standard,10.0,0.2,0.1,rbf
tuned_grid,rbf_standard_C50.0_eps0.05_gammascale,standard,50.0,0.05,scale,rbf
